        Sample;        490.00;43.987.200;15.129.662;17.685.340;19.540.000
        Sample;        491.00;57.099.200;18.704.723;17.700.523;19.540.000
        Sample;        492.00;72.635.200;29.103.341;17.712.041;19.540.000
        Sample;        493.00;91.215.200;35.036.235;17.723.709;19.540.000
        Sample;        494.00;     109835.20;35.468.672;17.735.126;19.540.000
        Sample;        495.00;     127491.20;39.829.860;17.746.824;19.540.000
        Sample;        496.00;     145271.20;26.250.418;17.758.339;19.540.000
        Sample;        497.00;     160559.20;40.147.506;17.769.964;19.540.000
        Sample;        498.00;     174275.20;54.068.927;17.781.596;19.540.000
        Sample;        499.00;     184643.20;42.941.614;17.793.167;19.540.000
        Sample;        500.00;     191939.20;56.079.309;17.804.607;19.540.000
        Sample;        501.00;     197379.20;34.097.898;17.816.194;19.540.000
        Sample;        502.00;     199979.20;42.654.165;17.827.845;19.553.300
        Sample;        503.00;     202359.20;50.716.642;17.839.331;19.553.300
        Sample;        504.00;     203271.20;56.126.999;17.850.864;19.556.600
        Sample;        505.00;     202219.20;49.895.892;17.862.479;19.556.600
        Sample;        506.00;     202895.20;46.066.425;17.874.026;19.556.600
        Sample;        507.00;     201919.20;61.796.080;17.885.571;19.556.600
        Sample;        508.00;     201575.20;39.917.470;17.897.212;19.556.600
        Sample;        509.00;     202571.20;66.505.940;17.908.634;19.556.600
        Sample;        510.00;     201947.20;56.501.878;17.920.162;19.550.000
        Sample;        511.00;     203367.20;59.964.582;17.931.818;19.550.000
        Sample;        512.00;     203931.20;51.466.667;17.943.386;19.550.000
        Sample;        513.00;     204683.20;62.910.730;17.955.121;19.550.000
        Sample;        514.00;     206287.20;32.298.882;17.967.583;19.550.000
        Sample;        515.00;     207315.20;51.506.030;17.978.747;19.560.000
        Sample;        516.00;     207919.20;44.081.742;17.990.593;19.550.000
        Sample;        517.00;     209403.20;46.361.670;18.001.842;19.560.000
        Sample;        518.00;     209075.20;43.944.207;18.013.700;19.560.000
        Sample;        519.00;     209871.20;62.932.910;18.025.376;19.560.000
        Sample;        520.00;     209199.20;51.887.913;18.036.820;19.560.000
        Sample;        521.00;     210771.20;61.800.539;18.048.478;19.560.000
        Sample;        522.00;     208275.20;54.131.363;18.060.038;19.563.300
        Sample;        523.00;     208479.20;23.838.344;18.071.549;19.563.300
        Sample;        524.00;     207211.20;61.906.883;18.083.094;19.563.300
        Sample;        525.00;     206331.20;27.036.108;18.094.566;19.563.300
        Sample;        526.00;     202723.20;50.194.998;18.106.215;19.563.300
        Sample;        527.00;     200003.20;57.091.583;18.117.784;19.563.300
        Sample;        528.00;     197295.20;45.111.024;18.129.399;19.566.600
        Sample;        529.00;     193895.20;56.213.719;18.140.920;19.566.600
        Sample;        530.00;     190115.20;35.533.771;18.152.588;19.566.600
        Sample;        531.00;     186319.20;46.158.182;18.164.240;19.566.600
        Sample;        532.00;     181271.20;58.079.027;18.175.673;19.570.000
        Sample;        533.00;     176531.20;66.570.063;18.187.201;19.570.000
        Sample;        534.00;     171439.20;28.579.713;18.198.769;19.570.000
        Sample;        535.00;     166019.20;35.261.562;18.210.405;19.570.000
        Sample;        536.00;     160463.20;27.818.140;18.221.917;19.570.000
        Sample;        537.00;     156623.20;51.323.635;18.233.514;19.570.000
        Sample;        538.00;     150175.20;39.352.312;18.245.315;19.570.000
        Sample;        539.00;     144855.20;45.892.435;18.257.700;19.570.000
        Sample;        540.00;     140487.20;37.853.754;18.268.875;19.570.000
        Sample;        541.00;     134859.20;36.882.998;18.280.866;19.570.000
        Sample;        542.00;     129779.20;38.712.616;18.292.055;19.570.000
        Sample;        543.00;     125279.20;29.097.537;18.303.979;19.570.000
        Sample;        544.00;     120311.20;40.822.869;18.315.574;19.573.300
        Sample;        545.00;     116267.20;39.901.211;18.327.059;19.573.300
        Sample;        546.00;     111351.20;30.087.576;18.338.591;19.573.300
        Sample;        547.00;     107367.20;21.639.881;18.350.234;19.573.300
        Sample;        548.00;     103075.20;23.141.689;18.361.825;19.573.300
        Sample;        549.00;99.463.200;37.836.843;18.373.214;19.573.300
        Sample;        550.00;95.563.200;39.594.388;18.384.969;19.586.600
        Sample;        551.00;92.183.200;41.386.847;18.396.476;19.586.600
        Sample;        552.00;89.107.200;24.329.589;18.407.909;19.586.600
        Sample;        553.00;85.827.200;28.220.087;18.419.433;19.586.600
        Sample;        554.00;82.667.200;30.717.639;18.431.048;19.586.600
        Sample;        555.00;80.055.200;24.976.077;18.442.229;19.586.600
        Sample;        556.00;77.235.200;21.041.335;18.454.150;19.586.600
        Sample;        557.00;74.967.200;31.075.821;18.465.813;19.580.000
        Sample;        558.00;72.443.200;14.473.885;18.477.398;19.580.000
        Sample;        559.00;71.215.200;27.664.337;18.488.884;19.580.000
        Sample;        560.00;68.215.200;29.184.166;18.500.474;19.580.000
        Sample;        561.00;66.571.200;30.965.501;18.512.175;19.580.000
        Sample;        562.00;64.519.200;20.597.735;18.524.519;19.580.000
        Sample;        563.00;62.399.200;27.842.414;18.536.111;19.580.000
        Sample;        564.00;60.747.200;23.253.578;18.547.644;19.580.000
        Sample;        565.00;59.247.200;23.574.374;18.559.259;19.580.000
        Sample;        566.00;57.459.200;27.802.478;18.570.795;19.593.300
        Sample;        567.00;55.835.200;24.449.131;18.582.376;19.580.000
        Sample;        568.00;54.067.200;28.830.848;18.593.793;19.580.000
        Sample;        569.00;52.623.200;20.260.087;18.605.421;19.593.300
        Sample;        570.00;50.975.200;24.151.006;18.616.754;19.593.300
        Sample;        571.00;49.523.200;19.101.600;18.628.629;19.593.300
        Sample;        572.00;48.199.200;15.205.262;18.640.259;19.593.300
        Sample;        573.00;47.007.200;22.947.670;18.651.804;19.593.300
        Sample;        574.00;45.275.200;28.467.213;18.663.392;19.593.300
        Sample;        575.00;44.171.200;16.576.288;18.674.765;19.596.600
        Sample;        576.00;42.755.200;17.118.671;18.686.411;19.596.600
        Sample;        577.00;41.811.200;24.183.006;18.698.002;19.596.600
        Sample;        578.00;40.667.200;13.357.312;18.709.390;19.596.600
        Sample;        579.00;38.891.200;11.435.617;18.721.075;19.596.600
        Sample;        580.00;37.527.200;18.866.078;18.732.664;19.590.000
