        490.00;39.996.800;17.620.190;45.880.399;20.000.000
        491.00;53.992.800;24.140.699;45.894.782;20.000.000
        492.00;70.136.800;19.094.939;45.906.316;20.000.000
        493.00;94.056.800;20.145.692;45.916.831;20.000.000
        494.00;     117880.80;31.649.469;45.928.530;20.000.000
        495.00;     141260.80;33.988.233;45.940.137;20.000.000
        496.00;     165992.80;37.118.669;45.951.593;20.003.300
        497.00;     186872.80;31.682.031;45.963.112;20.003.300
        498.00;     205008.80;40.657.048;45.974.725;20.003.300
        499.00;     220344.80;64.801.783;45.986.371;20.000.000
        500.00;     232064.80;54.096.046;45.997.748;20.000.000
        501.00;     239976.80;38.512.105;46.009.358;20.000.000
        502.00;     243432.80;93.516.107;46.020.833;20.000.000
        503.00;     244688.80;46.091.889;46.031.345;20.000.000
        504.00;     244204.80;75.462.897;46.043.056;20.000.000
        505.00;     243096.80;37.615.363;46.054.780;20.000.000
        506.00;     241120.80;62.570.849;46.067.187;19.990.000
        507.00;     238276.80;57.963.053;46.078.730;19.990.000
        508.00;     235600.80;46.842.526;46.090.247;20.000.000
        509.00;     233452.80;47.850.879;46.101.908;20.000.000
        510.00;     232212.80;27.775.609;46.113.512;20.000.000
        511.00;     232036.80;62.468.339;46.125.058;20.000.000
        512.00;     229464.80;30.582.203;46.136.590;20.000.000
        513.00;     228488.80;62.901.828;46.148.179;20.000.000
        514.00;     228104.80;44.834.312;46.159.751;20.000.000
        515.00;     227484.80;33.072.043;46.171.375;20.000.000
        516.00;     227268.80;37.739.693;46.182.908;20.000.000
        517.00;     227732.80;66.331.960;46.194.464;20.000.000
        518.00;     226608.80;57.131.583;46.206.024;20.000.000
        519.00;     226768.80;58.594.046;46.217.306;20.000.000
        520.00;     225564.80;35.019.740;46.229.144;20.003.300
        521.00;     223932.80;51.300.596;46.240.765;20.003.300
        522.00;     222536.80;57.402.904;46.252.069;20.003.300
        523.00;     221168.80;32.671.020;46.263.799;20.000.000
        524.00;     219144.80;42.851.475;46.275.460;20.000.000
        525.00;     216460.80;67.745.931;46.287.014;20.000.000
        526.00;     212368.80;48.840.966;46.298.605;20.000.000
        527.00;     209040.80;41.698.388;46.310.169;20.000.000
        528.00;     204436.80;37.943.584;46.321.791;20.000.000
        529.00;     200704.80;39.025.690;46.333.296;20.000.000
        530.00;     196296.80;46.755.915;46.344.824;20.000.000
        531.00;     190388.80;69.665.359;46.356.284;20.000.000
        532.00;     184952.80;54.812.975;46.367.978;20.000.000
        533.00;     179340.80;43.838.086;46.379.447;20.000.000
        534.00;     173344.80;53.321.499;46.391.118;20.000.000
        535.00;     167200.80;49.600.179;46.402.541;20.000.000
        536.00;     162020.80;41.204.099;46.414.250;20.000.000
