        490.00;29.654.400;13.568.591;57.392.059;19.990.000
        491.00;40.594.400;16.384.817;57.406.739;20.000.000
        492.00;54.470.400;22.224.711;57.418.278;20.000.000
        493.00;70.178.400;25.108.122;57.429.773;20.000.000
        494.00;87.222.400;34.775.215;57.441.459;20.000.000
        495.00;     104490.40;19.780.574;57.453.048;20.000.000
        496.00;     118830.40;16.231.788;57.464.642;20.000.000
        497.00;     134782.40;35.166.651;57.475.206;20.000.000
        498.00;     146854.40;29.088.677;57.486.747;20.000.000
        499.00;     156574.40;44.796.032;57.498.367;20.000.000
        500.00;     162842.40;43.563.287;57.509.556;20.000.000
        501.00;     165438.40;28.011.426;57.521.413;20.000.000
        502.00;     167950.40;44.868.994;57.533.061;20.000.000
        503.00;     167342.40;61.530.697;57.544.702;20.000.000
        504.00;     165654.40;66.540.681;57.556.238;20.000.000
        505.00;     164042.40;35.724.626;57.567.755;19.990.000
        506.00;     161630.40;33.536.448;57.579.369;19.990.000
        507.00;     158534.40;46.931.818;57.590.880;19.990.000
        508.00;     156046.40;32.995.623;57.602.417;19.990.000
        509.00;     155250.40;52.697.712;57.614.107;19.990.000
        510.00;     153318.40;34.834.466;57.625.636;20.000.000
        511.00;     151714.40;41.470.954;57.637.205;20.003.300
        512.00;     151290.40;37.096.631;57.648.758;20.000.000
        513.00;     150646.40;37.923.900;57.660.355;20.000.000
        514.00;     150086.40;38.059.602;57.671.841;20.000.000
        515.00;     149906.40;37.920.384;57.683.436;20.000.000
        516.00;     149086.40;38.366.652;57.694.981;20.000.000
        517.00;     149158.40;58.410.958;57.706.504;20.000.000
        518.00;     147626.40;42.147.888;57.718.175;20.000.000
        519.00;     148154.40;50.596.618;57.729.697;20.000.000
        520.00;     147702.40;48.336.598;57.741.294;20.000.000
        521.00;     146042.40;40.989.755;57.752.803;20.000.000
        522.00;     144998.40;39.686.774;57.764.464;20.000.000
        523.00;     143974.40;47.798.838;57.775.958;20.003.300
        524.00;     142050.40;25.259.190;57.787.575;20.000.000
        525.00;     140122.40;43.937.127;57.799.093;20.000.000
        526.00;     138526.40;42.470.382;57.810.627;20.000.000
        527.00;     135070.40;38.960.721;57.821.862;20.000.000
        528.00;     133214.40;33.026.858;57.833.866;20.000.000
        529.00;     129990.40;33.525.844;57.845.396;20.000.000
        530.00;     125990.40;49.685.947;57.856.989;20.000.000
