        490.00;17.328.000;44.621.868;29.821.239;20.000.000
        491.00;16.928.000;30.404.678;29.836.169;20.000.000
        492.00;16.128.000;49.531.135;29.847.669;20.000.000
        493.00;16.088.000;40.199.502;29.859.236;20.000.000
        494.00;17.208.000;40.900.964;29.870.757;20.000.000
        495.00;16.688.000;55.681.635;29.882.363;20.000.000
        496.00;17.168.000;57.255.761;29.893.927;20.000.000
        497.00;16.968.000;45.587.523;29.905.459;20.000.000
        498.00;17.648.000;46.494.922;29.915.873;20.000.000
        499.00;17.568.000;48.515.748;29.927.656;20.000.000
        500.00;18.128.000;45.018.515;29.939.084;20.000.000
        501.00;18.088.000;62.096.699;29.950.692;20.000.000
        502.00;17.728.000;57.811.956;29.961.807;20.000.000
        503.00;18.408.000;49.188.978;29.973.599;20.003.300
        504.00;18.928.000;46.188.022;29.985.437;20.003.300
        505.00;18.608.000;48.368.952;29.996.880;20.003.300
        506.00;18.648.000;59.940.711;30.008.516;20.003.300
        507.00;19.648.000;49.459.299;30.020.023;20.000.000
        508.00;18.928.000;52.998.952;30.031.609;20.000.000
        509.00;20.328.000;38.758.512;30.043.149;20.000.000
        510.00;19.848.000;39.575.526;30.054.692;20.000.000
        511.00;19.928.000;59.702.968;30.066.348;20.000.000
        512.00;19.648.000;55.232.840;30.077.807;20.000.000
        513.00;20.608.000;39.009.970;30.089.357;20.000.000
        514.00;20.088.000;50.402.822;30.101.019;20.000.000
        515.00;20.368.000;45.489.926;30.112.482;20.000.000
        516.00;19.688.000;52.476.450;30.123.983;20.000.000
        517.00;19.328.000;55.617.743;30.135.583;20.000.000
        518.00;20.128.000;32.659.863;30.147.155;20.000.000
        519.00;19.448.000;34.794.636;30.158.665;20.000.000
        520.00;19.008.000;55.872.872;30.170.343;20.000.000
        521.00;19.248.000;56.819.402;30.181.833;20.000.000
        522.00;19.008.000;41.654.665;30.193.457;20.000.000
        523.00;19.088.000;49.602.867;30.204.612;20.000.000
        524.00;18.928.000;56.253.395;30.216.556;20.000.000
        525.00;17.568.000;44.301.994;30.228.269;20.000.000
        526.00;17.448.000;45.038.255;30.239.711;20.000.000
        527.00;17.768.000;59.464.275;30.251.255;20.000.000
        528.00;17.408.000;52.931.822;30.262.800;20.000.000
        529.00;16.728.000;65.659.052;30.274.365;20.000.000
        530.00;16.608.000;66.345.895;30.285.900;20.000.000
        531.00;15.768.000;44.402.202;30.297.348;20.000.000
        532.00;15.288.000;37.452.192;30.307.695;20.000.000
        533.00;14.408.000;48.460.752;30.319.648;20.000.000
        534.00;14.728.000;36.878.178;30.331.200;20.000.000
        535.00;13.968.000;59.985.183;30.342.838;20.000.000
        536.00;13.008.000;64.992.307;30.354.307;20.000.000
        537.00;12.488.000;67.316.830;30.365.902;20.000.000
        538.00;12.248.000;40.463.976;30.377.481;20.000.000
        539.00;11.448.000;49.906.579;30.389.042;20.000.000
        540.00;10.608.000;47.253.454;30.400.527;20.000.000
        541.00;10.608.000;26.532.998;30.412.140;20.000.000
        542.00;96.880.000;30.666.667;30.423.739;20.000.000
        543.00;98.880.000;45.879.068;30.435.322;20.000.000
        544.00;86.880.000;31.098.410;30.446.832;20.000.000
        545.00;86.480.000;25.333.333;30.458.396;20.000.000
        546.00;89.280.000;47.702.784;30.470.018;20.000.000
        547.00;84.480.000;34.149.996;30.481.482;20.000.000
        548.00;85.680.000;31.240.999;30.493.055;20.000.000
        549.00;80.480.000;35.677.568;30.504.521;20.003.300
        550.00;83.680.000;31.664.912;30.516.149;20.003.300
        551.00;78.080.000;35.677.568;30.527.838;20.003.300
        552.00;79.280.000;40.551.750;30.539.425;20.000.000
        553.00;71.680.000;31.664.912;30.550.879;20.000.000
        554.00;73.680.000;38.850.139;30.562.393;20.000.000
        555.00;75.280.000;39.665.266;30.574.120;20.000.000
        556.00;84.480.000;22.939.534;30.585.541;20.000.000
        557.00;69.680.000;22.666.667;30.597.263;20.000.000
        558.00;68.480.000;27.194.771;30.608.729;20.000.000
        559.00;74.880.000;39.191.836;30.620.411;20.000.000
        560.00;66.480.000;23.132.469;30.631.549;20.000.000
        561.00;64.880.000;42.353.014;30.643.676;20.000.000
        562.00;61.680.000;36.000.000;30.655.045;20.000.000
        563.00;53.680.000;47.870.195;30.666.524;20.000.000
        564.00;58.080.000;24.440.404;30.678.176;20.000.000
        565.00;54.880.000;40.088.790;30.689.774;20.003.300
        566.00;56.080.000;25.333.333;30.701.397;20.003.300
