        490.00;20.459.200;13.568.591;48.212.118;20.000.000;;;
        491.00;28.915.200;25.289.787;48.226.727;20.000.000;;;
        492.00;41.411.200;25.634.699;48.238.217;20.000.000;;;
        493.00;55.627.200;26.222.976;48.249.383;20.000.000;;;
        494.00;72.143.200;18.129.902;48.261.389;20.000.000;;;
        495.00;89.655.200;15.877.867;48.272.974;19.990.000;;;
        496.00;     107627.20;13.466.007;48.284.601;19.990.000;;;
        497.00;     123967.20;26.714.956;48.296.149;20.000.000;;;
        498.00;     138627.20;48.096.200;48.307.604;20.000.000;;;
        499.00;     151911.20;39.510.111;48.319.221;20.000.000;;;
        500.00;     161227.20;34.424.797;48.330.808;20.000.000;;;
        501.00;     168103.20;43.571.448;48.342.413;20.000.000;;;
        502.00;     172147.20;72.568.129;48.354.016;20.000.000;;;
        503.00;     175087.20;51.139.026;48.365.445;20.000.000;;;
        504.00;     175407.20;42.941.821;48.377.027;20.003.300;;;
        505.00;     175059.20;27.909.696;48.388.670;20.003.300;;;
        506.00;     174851.20;34.374.150;48.400.304;20.000.000;;;
        507.00;     172843.20;56.528.302;48.411.873;20.000.000;;;
        508.00;     171943.20;55.619.181;48.423.050;20.000.000;;;
        509.00;     171083.20;53.563.503;48.434.897;20.000.000;;;
        510.00;     170891.20;57.405.226;48.446.592;20.000.000;;;
        511.00;     169031.20;50.043.359;48.458.170;20.000.000;;;
        512.00;     168599.20;50.694.904;48.469.782;20.000.000;;;
        513.00;     168875.20;54.330.020;48.481.378;20.000.000;;;
        514.00;     168591.20;45.624.360;48.492.981;20.000.000;;;
        515.00;     168191.20;43.665.191;48.504.670;20.000.000;;;
        516.00;     168159.20;54.189.954;48.516.045;20.000.000;;;
        517.00;     169231.20;28.274.527;48.527.327;20.000.000;;;
        518.00;     167667.20;39.745.859;48.539.272;20.000.000;;;
        519.00;     168591.20;48.524.725;48.550.791;20.000.000;;;
        520.00;     167663.20;51.661.978;48.562.004;20.000.000;;;
        521.00;     166899.20;41.534.136;48.574.037;20.000.000;;;
        522.00;     164999.20;51.653.719;48.585.353;20.000.000;;;
        523.00;     163883.20;49.793.172;48.595.867;20.000.000;;;
        524.00;     162619.20;33.908.635;48.607.609;20.000.000;;;
        525.00;     160707.20;37.684.067;48.618.817;20.000.000;;;
        526.00;     158659.20;31.308.075;48.630.720;20.000.000;;;
        527.00;     155767.20;36.729.643;48.642.356;20.000.000;;;
        528.00;     152747.20;40.256.952;48.653.813;20.000.000;;;
        529.00;     149491.20;18.659.046;48.665.337;20.000.000;;;
        530.00;     145175.20;36.495.601;48.676.848;20.003.300;;;
        531.00;     141915.20;32.994.545;48.688.456;20.003.300;;;
        532.00;     137027.20;32.963.279;48.699.948;20.000.000;;;
        533.00;     134339.20;33.534.327;48.711.538;20.000.000;;;
        534.00;     128931.20;38.284.084;48.723.082;20.000.000;;;
        535.00;     124111.20;28.853.346;48.734.398;20.000.000;;;
        536.00;     120483.20;51.506.030;48.746.351;20.000.000;;;
        537.00;     116411.20;39.589.898;48.757.972;20.000.000;;;
        538.00;     111595.20;24.928.698;48.769.423;20.000.000;;;
        539.00;     106907.20;27.872.727;48.780.938;20.000.000;;;
        540.00;     103195.20;33.043.002;48.792.568;20.000.000;;;
        541.00;98.783.200;34.219.942;48.803.709;20.000.000;;;
        542.00;94.283.200;35.191.918;48.815.786;20.000.000;;;
        543.00;90.239.200;34.202.274;48.827.281;20.000.000;;;
        544.00;86.519.200;35.442.849;48.839.039;20.000.000;;;
        545.00;83.203.200;35.282.731;48.851.003;20.000.000;;;
        546.00;79.163.200;22.487.132;48.861.881;20.000.000;;;
        547.00;75.475.200;31.646.941;48.873.526;20.000.000;;;
        548.00;72.275.200;27.388.887;48.885.187;20.000.000;;;
        549.00;69.099.200;20.902.312;48.896.658;20.000.000;;;
        550.00;65.875.200;23.685.345;48.908.247;20.000.000;;;
        551.00;63.759.200;27.719.548;48.919.714;20.000.000;;;
        552.00;60.291.200;14.717.488;48.930.988;20.000.000;;;
        553.00;58.443.200;20.510.810;48.943.017;20.000.000;;;
        554.00;55.851.200;24.895.872;48.954.488;20.000.000;;;
        555.00;53.523.200;19.939.464;48.966.052;20.000.000;;;
        556.00;51.359.200;16.717.788;48.977.682;20.000.000;;;
        557.00;49.751.200;35.719.649;48.989.171;20.000.000;;;
        558.00;47.635.200;27.036.108;49.000.796;20.000.000;;;
        559.00;46.059.200;17.423.356;49.012.181;20.000.000;;;
        560.00;44.271.200;18.594.623;49.023.847;20.003.300;;;
        561.00;42.887.200;20.459.173;49.035.033;20.003.300;;;
