        490.00;24.176.000;49.959.984;55.160.607;20.000.000
        491.00;23.896.000;41.931.161;55.175.295;20.000.000
        492.00;23.576.000;36.974.466;55.186.805;20.000.000
        493.00;21.336.000;47.795.862;55.198.500;20.000.000
        494.00;21.936.000;48.442.406;55.210.005;20.000.000
        495.00;20.776.000;54.796.594;55.221.464;20.000.000
        496.00;21.536.000;48.808.014;55.233.200;19.990.000
        497.00;21.456.000;53.599.337;55.244.505;19.990.000
        498.00;20.816.000;53.599.337;55.255.959;20.000.000
        499.00;22.216.000;59.044.240;55.267.869;20.000.000
        500.00;22.976.000;63.161.170;55.279.321;20.000.000
        501.00;23.336.000;82.246.243;55.290.929;20.000.000
        502.00;23.736.000;68.831.517;55.302.577;20.000.000
        503.00;23.456.000;70.250.346;55.314.029;20.000.000
        504.00;25.176.000;56.395.429;55.325.728;20.000.000
        505.00;25.736.000;61.173.705;55.337.181;20.000.000
        506.00;26.816.000;40.792.156;55.348.729;20.000.000
        507.00;26.656.000;62.765.879;55.360.376;20.000.000
        508.00;26.416.000;36.660.606;55.371.944;20.000.000
        509.00;27.176.000;67.580.405;55.382.985;20.000.000
        510.00;27.336.000;33.862.467;55.394.598;20.000.000
        511.00;26.976.000;47.027.179;55.406.504;20.000.000
        512.00;27.016.000;55.952.361;55.418.055;20.000.000
        513.00;26.696.000;55.761.396;55.429.523;20.003.300
        514.00;25.936.000;39.101.009;55.441.088;20.003.300
        515.00;25.016.000;65.060.655;55.452.812;20.003.300
        516.00;24.536.000;82.892.166;55.465.278;20.000.000
        517.00;23.936.000;65.319.726;55.476.834;20.000.000
        518.00;21.816.000;31.580.585;55.488.493;20.000.000
        519.00;22.376.000;71.913.528;55.500.881;20.000.000
        520.00;22.936.000;43.512.450;55.512.546;20.000.000
        521.00;21.736.000;40.110.957;55.524.100;20.000.000
        522.00;21.816.000;42.604.121;55.535.720;20.000.000
        523.00;21.536.000;38.180.856;55.547.260;20.000.000
        524.00;20.976.000;35.377.331;55.558.802;20.000.000
        525.00;20.296.000;59.762.493;55.570.443;20.000.000
        526.00;20.296.000;63.791.326;55.581.988;20.000.000
        527.00;19.096.000;52.476.450;55.593.558;20.000.000
        528.00;19.296.000;32.221.456;55.604.997;20.000.000
        529.00;19.496.000;34.998.413;55.616.648;20.003.300
        530.00;18.016.000;63.048.482;55.628.305;20.003.300
        531.00;17.976.000;53.149.684;55.639.757;20.003.300
        532.00;16.896.000;77.562.878;55.651.381;20.000.000
        533.00;16.536.000;42.687.495;55.662.847;20.000.000
        534.00;16.136.000;49.620.784;55.674.468;20.000.000
        535.00;15.136.000;25.298.221;55.686.068;20.000.000
        536.00;14.256.000;54.258.640;55.697.614;20.000.000
        537.00;13.376.000;40.529.824;55.709.255;20.000.000
        538.00;12.936.000;39.214.510;55.720.729;20.000.000
        539.00;11.976.000;66.786.559;55.732.311;20.000.000
        540.00;11.296.000;64.827.977;55.743.917;20.000.000
        541.00;11.176.000;60.059.230;55.755.436;20.000.000
        542.00;10.216.000;47.721.414;55.766.990;20.000.000
        543.00;10.696.000;28.875.210;55.778.577;20.000.000
        544.00;10.216.000;28.000.000;55.790.169;20.000.000
        545.00;93.760.000;29.933.259;55.801.719;20.000.000
        546.00;94.960.000;53.483.123;55.813.266;20.000.000
        547.00;99.760.000;43.184.359;55.824.823;20.000.000
        548.00;91.760.000;35.502.739;55.836.407;20.000.000
        549.00;88.560.000;34.794.636;55.847.521;20.000.000
        550.00;90.560.000;27.194.771;55.859.380;20.000.000
        551.00;82.160.000;32.138.589;55.871.011;20.000.000
        552.00;85.360.000;26.832.816;55.882.604;20.000.000
        553.00;86.160.000;57.209.168;55.894.118;20.000.000
        554.00;75.760.000;36.000.000;55.905.543;20.000.000
        555.00;87.360.000;25.298.221;55.916.736;20.000.000
        556.00;79.360.000;46.951.512;55.928.208;20.000.000
        557.00;75.360.000;29.814.240;55.940.167;20.000.000
        558.00;80.160.000;47.628.190;55.951.737;20.000.000
        559.00;74.960.000;30.081.371;55.963.272;20.000.000
        560.00;71.360.000;33.199.732;55.974.823;20.000.000
        561.00;74.960.000;30.081.371;55.985.365;20.000.000
        562.00;68.160.000;20.483.055;55.997.001;20.003.300
        563.00;66.160.000;34.279.894;56.008.591;20.003.300
        564.00;59.760.000;39.754.804;56.019.825;20.000.000
        565.00;60.960.000;43.081.318;56.031.822;20.000.000
        566.00;57.760.000;31.098.410;56.043.258;20.000.000
        567.00;58.960.000;39.754.804;56.054.942;19.990.000
        568.00;54.560.000;22.939.534;56.066.567;20.000.000
        569.00;46.960.000;22.666.667;56.078.082;20.000.000
        570.00;48.560.000;35.801.924;56.089.597;20.000.000
        571.00;41.760.000;34.871.192;56.101.098;20.000.000
        572.00;48.160.000;25.157.283;56.112.658;20.000.000
