Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;586.00;307095.20;550,58918;20294667;19876600
Reference;587.00;305431.20;500,98747;20306310;19876600
Reference;588.00;303747.20;536,36472;20317845;19876600
Reference;589.00;303903.20;599,74068;20329044;19870000
Reference;590.00;300547.20;743,85662;20340957;19870000
Reference;591.00;299699.20;613,42608;20352531;19870000
Reference;592.00;296491.20;536,61656;20364137;19870000
Reference;593.00;297107.20;378,6385;20375712;19870000
Reference;594.00;293883.20;597,08924;20387174;19870000
Reference;595.00;290619.20;549,81856;20398827;19870000
Reference;596.00;288591.20;567,50683;20410398;19870000
Reference;597.00;285499.20;518,80889;20421901;19870000
Reference;598.00;282687.20;574,18387;20433510;19870000
Reference;599.00;280031.20;663,51388;20445217;19870000
Reference;600.00;277051.20;512,6593;20456629;19870000
Reference;601.00;274171.20;511,23554;20468280;19870000
Reference;602.00;270771.20;402,25144;20479763;19880000
Reference;603.00;270151.20;656,6731;20490934;19880000
Reference;604.00;264771.20;679,68097;20502921;19880000
Reference;605.00;263439.20;901,2278;20514269;19880000
Reference;606.00;259303.20;654,97074;20524910;19880000
Reference;607.00;256727.20;608,63271;20536413;19880000
Reference;608.00;252443.20;328,1734;20548070;19880000
Reference;609.00;250759.20;588,405;20559659;19880000
Reference;610.00;246403.20;498,06738;20571300;19880000
Reference;611.00;243479.20;784,48171;20582733;19880000
Reference;612.00;239663.20;584,18414;20594411;19883300
Reference;613.00;237555.20;477,72796;20605964;19883300
Reference;614.00;233895.20;448,0496;20617422;19883300
Reference;615.00;231655.20;506,07158;20628983;19883300
Reference;616.00;227447.20;515,44846;20640614;19883300
Reference;617.00;225195.20;445,0538;20652065;19883300
Reference;618.00;221815.20;565,34119;20663771;19883300
Reference;619.00;219835.20;342,2176;20675259;19883300
Reference;620.00;215815.20;509,81652;20686949;19883300
Reference;621.00;212871.20;524,3595;20698375;19886600
Reference;622.00;211267.20;576,27771;20709954;19886600
Reference;623.00;207935.20;541,63702;20721507;19886600
Reference;624.00;205395.20;662,64923;20733155;19886600
Reference;625.00;200907.20;561,43309;20744685;19886600
Reference;626.00;198603.20;422,2269;20756226;19886600
Reference;627.00;196075.20;289,84594;20767764;19886600
Reference;628.00;191283.20;416,3332;20779377;19890000
Reference;629.00;189627.20;286,72558;20790873;19890000
Reference;630.00;185295.20;424,4128;20802510;19890000
Reference;631.00;182287.20;343,75443;20814266;19890000
Reference;632.00;179091.20;392,13603;20825782;19890000
Reference;633.00;176191.20;449,11963;20837277;19890000
Reference;634.00;172319.20;401,26245;20848857;19890000
Reference;635.00;170215.20;420,24543;20860551;19890000
Reference;636.00;167051.20;703,93939;20872977;19890000
Reference;637.00;164231.20;424,58032;20884558;19890000
Reference;638.00;161279.20;450,00543;20895659;19890000
Reference;639.00;158643.20;294,24102;20907634;19890000
Reference;640.00;156287.20;336,11903;20919070;19890000
Reference;641.00;153491.20;260,51573;20930758;19890000
Reference;642.00;150475.20;474,74157;20942349;19890000
Reference;643.00;147367.20;334,20952;20953941;19890000
Reference;644.00;144759.20;499,54468;20965426;19890000
Reference;645.00;141519.20;453,78213;20976955;19890000
Reference;646.00;139647.20;429,42649;20988619;19893300
Reference;647.00;137403.20;443,38095;21000179;19893300
Reference;648.00;133903.20;360,60443;21011781;19893300
Reference;649.00;132007.20;511,22337;21023182;19893300
Reference;650.00;129131.20;380,30631;21034834;19893300
