Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature;;;;;;;;;;;;
        236.75;         Blank;1;13.200.626;    0.13795428;     253493.20;     192031.20;  0.0030762364;  0.0011832703;41.237.157;32.042.735;42.042.586;24.443.300
        257.52;        Sample;1;13.555.148;    0.15092869;     246087.20;     181545.20;  0.0027880565;  0.0010197300;31.937.966;28.968.622;42.759.209;24.450.000
        257.52;     Reference;1;10.784.799;   0.037758304;     156605.20;     145209.20;  0.0031130440;  0.0014485319;32.895.720;28.748.602;43.436.886;24.450.000
        257.52;         Blank;1;13.105.224;    0.13439488;     253805.20;     193667.20;  0.0038718095;  0.0014296663;42.264.605;47.262.225;44.121.191;24.466.600
        278.34;        Sample;1;13.517.728;    0.14957772;     247265.20;     182919.20;  0.0028778042;  0.0010553776;33.220.507;30.207.841;44.847.064;24.450.000
        278.34;     Reference;1;10.805.274;   0.038705268;     156831.20;     145143.20;  0.0034081920;  0.0015888848;37.590.032;29.759.881;45.516.887;24.466.600
        278.34;         Blank;1;13.082.582;    0.13354581;     250593.20;     191547.20;  0.0029065646;  0.0010922169;33.985.105;33.707.597;46.192.290;24.460.000
        299.06;        Sample;1;13.599.836;    0.15253647;     247649.20;     182097.20;  0.0028837466;  0.0010560179;33.703.943;29.609.778;46.912.764;24.473.300
        299.06;     Reference;1;10.770.781;   0.037108912;     156479.20;     145281.20;  0.0033962651;  0.0015722673;32.894.216;34.145.047;47.578.316;24.476.600
        299.06;         Blank;1;13.046.835;    0.13220188;     251393.20;     192685.20;  0.0028336627;  0.0010614147;32.366.942;33.703.693;48.264.969;24.470.000
        319.75;        Sample;1;13.443.679;    0.14689160;     245889.20;     182903.20;  0.0024842380; 0.00086462368;21.325.497;29.844.650;48.978.407;24.480.000
        319.75;     Reference;1;10.709.396;   0.034254782;     155373.20;     145081.20;  0.0026228075;  0.0012328146;29.024.092;22.978.022;49.663.672;24.480.000
        319.75;         Blank;1;13.037.551;    0.13185215;     250205.20;     191911.20;  0.0030331220;  0.0011622806;38.241.642;33.660.222;50.333.755;24.480.000
        340.44;        Sample;1;13.752.474;    0.15798245;     251823.20;     183111.20;  0.0027570884;  0.0010687026;40.166.076;22.239.841;51.040.029;24.486.600
        340.44;     Reference;1;10.720.045;   0.034751112;     156205.20;     145713.20;  0.0024969889;  0.0011659135;25.686.818;24.037.646;51.714.719;24.490.000
        340.44;         Blank;1;13.015.549;    0.13102226;     250647.20;     192575.20;  0.0032541052;  0.0012802606;45.479.342;33.123.565;52.384.720;24.486.600
        360.91;        Sample;1;13.820.912;    0.16040160;     254063.20;     183825.20;  0.0034683169;  0.0013210971;48.796.980;29.689.303;53.094.491;24.493.300
        360.91;     Reference;1;10.654.330;   0.031680024;     155403.20;     145859.20;  0.0027908678;  0.0013094342;28.219.292;27.536.923;53.773.713;24.493.300
        360.91;         Blank;1;13.047.746;    0.13223617;     250933.20;     192319.20;  0.0034790545;  0.0013221763;42.519.865;39.593.833;54.740.026;24.500.000
        384.55;        Sample;1;13.869.988;    0.16212777;     254979.20;     183835.20;  0.0035841240;  0.0012942555;42.960.545;36.018.241;55.458.720;24.500.000
        384.55;     Reference;1;10.770.813;   0.037110407;     157479.20;     146209.20;  0.0033351384;  0.0015515857;34.845.947;31.669.976;56.143.175;24.506.600
        384.55;         Blank;1;13.011.524;    0.13087027;     250239.20;     192321.20;  0.0033499086;  0.0012743257;40.618.482;38.433.839;56.825.179;24.500.000
        405.39;        Sample;1;13.781.903;    0.15902442;     252519.20;     183225.20;  0.0031547349;  0.0011359176;36.489.191;32.527.850;57.553.014;24.516.600
        405.39;     Reference;1;10.791.107;   0.038050243;     157275.20;     145745.20;  0.0030871793;  0.0014450194;35.300.335;25.853.799;58.218.548;24.516.600
        405.39;         Blank;1;13.058.098;    0.13262576;     251247.20;     192407.20;  0.0031582678;  0.0011774208;35.320.488;37.867.914;58.894.041;24.510.000
        426.07;        Sample;1;13.926.307;    0.16409998;     255435.20;     183419.20;  0.0038043780;  0.0012834132;34.557.778;43.530.123;59.617.106;24.513.300
        426.07;     Reference;1;10.740.272;   0.035692501;     156547.20;     145757.20;  0.0029665475;  0.0013810698;30.034.366;28.962.226;60.287.199;24.510.000
        426.07;         Blank;1;12.967.588;    0.12920765;     249879.20;     192695.20;  0.0033104878;  0.0013236506;48.552.175;31.907.894;60.959.638;24.520.000
        446.65;        Sample;1;13.873.001;    0.16223352;     254793.20;     183661.20;  0.0027861726; 0.00097756689;29.899.868;29.933.646;61.663.507;24.526.600
        446.65;     Reference;1;10.889.220;   0.042568363;     158779.20;     145813.20;  0.0030707264;  0.0014079081;30.416.893;30.174.615;62.340.477;24.530.000
        446.65;         Blank;1;13.017.080;    0.13108005;     250161.20;     192179.20;  0.0038432687;  0.0015943051;63.832.857;28.544.481;63.020.945;24.530.000
        467.35;        Sample;1;13.780.498;    0.15897471;     253739.20;     184129.20;  0.0024424028; 0.00092880370;34.029.832;21.335.367;63.743.454;24.530.000
        467.35;     Reference;1;10.865.341;   0.041472636;     158835.20;     146185.20;  0.0027842574;  0.0013027061;33.624.052;21.109.190;64.420.986;24.546.600
        467.35;         Blank;1;12.965.832;    0.12914107;     249451.20;     192391.20;  0.0027792871;  0.0010270361;28.310.162;34.985.591;65.105.553;24.530.000
        488.13;        Sample;1;13.678.481;    0.15535121;     250583.20;     183195.20;  0.0034680857;  0.0013040179;45.572.753;32.363.202;65.805.655;24.540.000
        488.13;     Reference;1;10.808.167;   0.038838923;     157943.20;     146133.20;  0.0029045331;  0.0013393304;28.125.882;29.411.455;66.485.292;24.546.600
        488.13;         Blank;1;12.983.768;    0.12982065;     249687.20;     192307.20;  0.0029581299;  0.0011707656;41.886.564;29.646.336;67.166.751;24.540.000
        508.74;        Sample;1;13.857.532;    0.16169033;     254071.20;     183345.20;  0.0034303934;  0.0012393613;40.960.983;34.441.682;67.875.770;24.553.300
