EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
734;430.4;29,333333;1402,2264;19,61
735;394.4;29,96294;1403,3905;19,61
736;390.4;16;1404,5436;19,61
737;386.4;40,463976;1405,7082;19,61
738;366.4;29,694743;1406,8515;19,6133
739;338.4;32,9039;1408,0097;19,6133
740;358.4;31,09841;1409,1662;19,6133
741;342.4;23,701852;1410,3244;19,6133
742;418.4;34,486712;1411,4768;19,6133
743;346.4;29,844039;1412,6346;19,6133
744;306.4;41,761226;1413,75;19,6133
745;334.4;18,856181;1414,9521;19,6133
746;298.4;37,9239;1416,1077;19,6133
747;338.4;29,484459;1417,2552;19,6266
748;306.4;34,794636;1418,4149;19,6133
749;314.4;23,285666;1419,5703;19,6266
750;338.4;20,176995;1420,7252;19,6266
