EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
678;3115.2;63,721617;990,09143;19,55
679;2979.2;46,494922;991,25964;19,56
680;3059.2;43,736585;992,40883;19,56
681;2899.2;55,872872;993,56803;19,56
682;2959.2;66,679999;994,68449;19,56
683;2755.2;54,389541;995,87618;19,56
684;2743.2;57,519079;997,01932;19,56
685;2651.2;48,808014;998,17758;19,56
686;2535.2;56,079309;999,33537;19,56
687;2415.2;62,382334;1000,4877;19,56
688;2523.2;69,230693;1001,6524;19,56
689;2407.2;31,240999;1002,7964;19,56
690;2271.2;70,616334;1003,9557;19,56
691;2191.2;45,117132;1005,1147;19,56
692;2255.2;28,87521;1006,2666;19,56
693;2171.2;44,621868;1007,43;19,56
694;2147.2;43,081318;1008,5878;19,56
695;2159.2;43,838086;1009,7405;19,56
696;2039.2;44,641784;1010,8947;19,5633
697;2039.2;43,838086;1012,0066;19,5633
698;1975.2;54,143841;1013,1598;19,5633
699;1883.2;67,934609;1014,3606;19,5633
700;1847.2;63,512029;1015,512;19,5633
701;1911.2;39,21451;1016,6683;19,5633
702;1699.2;43,736585;1017,8362;19,5633
703;1675.2;47,027179;1018,9789;19,5633
704;1675.2;46,647615;1020,0319;19,5633
705;1703.2;39,575526;1021,1926;19,5633
706;1639.2;45,038255;1022,3337;19,5633
707;1523.2;49,459299;1023,4563;19,5633
708;1587.2;19,043809;1024,6498;19,5633
709;1583.2;48,826222;1025,8063;19,5633
710;1435.2;34,357597;1026,9546;19,5666
711;1411.2;21,499354;1028,1174;19,5666
712;1375.2;31,240999;1029,2749;19,5666
713;1331.2;34,253954;1030,4293;19,5666
714;1343.2;40,900964;1031,5816;19,5666
715;1243.2;58,057443;1032,7429;19,5666
716;1211.2;44,221664;1033,8922;19,5666
717;1171.2;32,659863;1035,0599;19,5666
718;1123.2;52,594888;1036,1681;19,5666
719;1159.2;32,138589;1037,3663;19,5666
720;1135.2;45,587523;1038,5092;19,5666
721;1071.2;31,692972;1039,6681;19,5666
722;1107.2;33,306656;1040,839;19,5666
723;1067.2;26,799668;1041,9866;19,5666
724;959.2;46,97044;1043,1524;19,57
725;1019.2;46,110977;1044,3021;19,57
726;959.2;43,43066;1045,4632;19,57
727;939.2;48;1046,6199;19,57
728;871.2;38,297084;1047,7721;19,57
729;915.2;52,72992;1048,928;19,57
730;883.2;33,092463;1050,0885;19,57
731;839.2;47,347416;1051,2337;19,57
732;915.2;45,097425;1052,404;19,57
733;867.2;44,701479;1053,5592;19,57
734;855.2;39,305075;1054,7106;19,57
735;771.2;27,325202;1055,8608;19,57
736;791.2;35,901099;1057,0374;19,57
737;783.2;29,242283;1058,1904;19,57
738;763.2;32;1059,3372;19,57
739;695.2;24,908722;1060,4946;19,57
740;731.2;46,571331;1061,6497;19,57
741;635.2;31,09841;1062,8108;19,57
742;663.2;33,226495;1063,9566;19,57
743;667.2;43,081318;1065,1079;19,57
744;667.2;31,664912;1066,2633;19,57
745;619.2;41,654665;1067,4196;19,57
746;635.2;35,876331;1068,5733;19,57
747;615.2;30,666667;1069,7222;19,57
748;539.2;23,701852;1070,8926;19,57
749;483.2;25,157283;1072,0394;19,5733
750;575.2;39,754804;1073,2057;19,5733
