#;Sample ID;A600;Cursor nm;Cursor Abs;Abs Correction;;;t;Abs 600;t;Abs 600
5;OV_VRO;0,901;280;1,341;0;;;ON;1,113;ON;0,622
6;OV_VRO;1,317;280;1,573;0;;;1;0,01;1;0,007
7;OV_VRO;1,163;280;1,578;0;;;2;0,006;2;0,005
8;OV_VRO;1,07;280;1,419;0;;;3;0,012;3;0,024
20;t1h_VRO;0,009;280;-0,014;0;;;4;0,023;4;0,02
21;t1h_VRO;0,009;280;-0,006;0;;;5;0,043;5;0,078
22;t1h_VRO;0,009;280;-0,011;0;;;6;0,083;6;0,074
23;t1h_VRO;0,012;280;-0,006;0;;;7;0,138;7;0,123
25;t2h_VRO;0,004;280;0,011;0;;;8;0,179;8;0,189
26;t2h_VRO;0,008;280;0,008;0;;;9;0,212;9;0,201
27;t2h_VRO;0,006;280;0,006;0;;;10;0,26;10;0,248
28;t2h_VRO;0,007;280;0,015;0;;;11;0,29;11;0,27
38;t3h_VRO;0,011;280;0,024;0;;;12;0,318;12;0,303
39;t3h_VRO;0,008;280;0,017;0;;;13;0,349;13;0,33
40;t3h_VRO;0,011;280;0,018;0;;;14;0,374;14;0,322
41;t3h_VRO;0,016;280;0,02;0;;;Valentina;;Brigeth;
47;t4h_VRO;0,024;280;0,053;0;;;;;;
48;t4h_VRO;0,023;280;0,049;0;;;;;;
49;t4h_VRO;0,021;280;0,053;0;;;;;;
50;t4h_VRO;0,022;280;0,052;0;;;;;;
56;t5h_VRO;0,043;280;0,102;0;;;;;;
57;t5h_VRO;0,045;280;0,116;0;;;;;;
58;t5h_VRO;0,041;280;0,095;0;;;;;;
59;t5h_VRO;0,047;280;0,122;0;;;;;;
60;t5h_VRO;0,039;280;0,103;0;;;;;;
61;t5h_VRO;0,044;280;0,125;0;;;;;;
65;t6h_VRO;0,091;280;0,245;0;;;;;;
66;t6h_VRO;0,091;280;0,248;0;;;;;;
67;t6h_VRO;0,083;280;0,229;0;;;;;;
68;t6h_VRO;0,089;280;0,241;0;;;;;;
69;t6h_VRO;0,078;280;0,227;0;;;;;;
70;t6h_VRO;0,063;280;0,199;0;;;;;;
79;t7h_VRO;0,142;280;0,374;0;;;;;;
80;t7h_VRO;0,139;280;0,378;0;;;;;;
81;t7h_VRO;0,142;280;0,381;0;;;;;;
82;t7h_VRO;0,135;280;0,365;0;;;;;;
83;t7h_VRO;0,13;280;0,346;0;;;;;;
85;t8h_VRO;0,179;280;0,493;0;;;;;;
86;t8h_VRO;0,181;280;0,491;0;;;;;;
87;t8h_VRO;0,18;280;0,492;0;;;;;;
88;t8h_VRO;0,181;280;0,481;0;;;;;;
89;t8h_VRO;0,175;280;0,476;0;;;;;;
97;t9h_VRO;0,216;280;0,557;0;;;;;;
98;t9h_VRO;0,215;280;0,557;0;;;;;;
99;t9h_VRO;0,215;280;0,567;0;;;;;;
100;t9h_VRO;0,202;280;0,517;0;;;;;;
101;t9h_VRO;0,212;280;0,543;0;;;;;;
108;th10_VRO;0,26;280;0,666;0;;;;;;
109;th10_VRO;0,259;280;0,658;0;;;;;;
110;th10_VRO;0,262;280;0,674;0;;;;;;
111;th10_VRO;0,257;280;0,638;0;;;;;;
116;th11_VRO;0,291;280;0,698;0;;;;;;
117;th11_VRO;0,288;280;0,719;0;;;;;;
118;th11_VRO;0,293;280;0,721;0;;;;;;
119;th11_VRO;0,288;280;0,696;0;;;;;;
125;th12_VRO;0,309;280;0,743;0;;;;;;
126;th12_VRO;0,322;280;0,771;0;;;;;;
127;th12_VRO;0,326;280;0,773;0;;;;;;
128;th12_VRO;0,316;280;0,754;0;;;;;;
133;th13_VRO;0,353;280;0,809;0;;;;;;
134;th13_VRO;0,345;280;0,806;0;;;;;;
135;th13_VRO;0,348;280;0,826;0;;;;;;
136;th13_VRO;0,35;280;0,82;0;;;;;;
142;th14_VRO;0,375;280;0,829;0;;;;;;
143;th14_VRO;0,381;280;0,851;0;;;;;;
144;th14_VRO;0,377;280;0,87;0;;;;;;
145;th14_VRO;0,364;280;0,8;0;;;;;;
