Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;608;43144;300,3879;1824,1525;19,8133
Reference;609;41900;199,59515;1825,328;19,8133
Reference;610;40736;167,06619;1826,4788;19,8133
Reference;611;39928;216,46041;1827,6376;19,8133
Reference;612;39656;221,99099;1828,7748;19,8133
Reference;613;38204;181,06352;1829,951;19,8266
Reference;614;37348;242,65568;1831,0997;19,8266
Reference;615;36380;246,5369;1832,2605;19,8266
Reference;616;35352;230,49319;1833,4157;19,8266
Reference;617;35056;202,73683;1834,5786;19,8266
Reference;618;34332;180,01975;1835,7394;19,8266
Reference;619;33680;226,91751;1836,8971;19,8266
Reference;620;33340;110,02222;1838,0498;19,8266
Reference;621;31920;197,60342;1839,2107;19,82
Reference;622;31760;200,63898;1840,329;19,82
Reference;623;30992;265,5443;1841,5211;19,82
Reference;624;30312;170,45821;1842,6735;19,82
Reference;625;29444;144,22821;1843,8451;19,82
Reference;626;28728;146,88469;1844,9941;19,82
Reference;627;28360;246,01355;1846,1314;19,82
Reference;628;27564;209,97778;1847,3042;19,82
Reference;629;26956;258,00947;1848,4708;19,82
Reference;630;26516;121,06931;1849,6225;19,82
Reference;631;26164;132,80562;1850,775;19,82
Reference;632;25132;168,3858;1851,9488;19,82
Reference;633;24784;199,35897;1853,1016;19,82
Reference;634;24000;136,91197;1854,2644;19,82
Reference;635;23480;132,28925;1855,4112;19,82
Reference;636;23076;64,291005;1856,5642;19,82
Reference;637;22404;114,39503;1857,7136;19,82
Reference;638;21796;229,33721;1858,8784;19,82
Reference;639;21156;128,89272;1860,032;19,82
Reference;640;20624;164,14628;1861,1875;19,82
Reference;641;20748;132,40342;1862,3393;19,8333
Reference;642;19772;143,28837;1863,4985;19,8333
Reference;643;19588;101,7273;1864,6463;19,8333
Reference;644;19044;127,33857;1865,8062;19,8333
Reference;645;18856;129,82039;1866,964;19,8333
Reference;646;18296;99,420543;1868,1106;19,8333
Reference;647;17548;124,51506;1869,2786;19,8366
Reference;648;17576;65,861808;1870,4255;19,8366
Reference;649;16928;103,07279;1871,5804;19,8366
Reference;650;16588;144,84321;1872,7326;19,8366
