Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
0;1;5,1154372;0.67295878;8986.8;1756.8;0,091651544;0,009569136;80,831208;27,222282;683,35846;19,77
5.14;1;5,1850923;0.67664185;9098.8;1754.8;0,095734348;0,006771215;52,513657;30,77593;688,49513;19,7733
11.12;1;5,4521036;0.69002358;9174.8;1682.8;0,1205459;0,008497243;67,338892;35,096858;694,48124;19,7866
17.12;1;5,3855337;0.68679204;9202.8;1708.8;0,09285987;0,008218309;68,994279;26,532998;700,48296;19,78
23.12;1;5,08161;0.67113971;9140.8;1798.8;0,11239719;0,006577318;45,459062;38,767865;706,48223;19,78
29.09;1;5,0579553;0.6698556;9320.8;1842.8;0,10388563;0,007562069;60,238124;35,926826;712,45467;19,78
35.09;1;5,2021883;0.67753317;9128.8;1754.8;0,095105212;0,007786925;63,584175;29,661245;718,44714;19,7933
41.1;1;5,0938049;0.67179783;9274.8;1820.8;0,14193554;0,007632831;49,628091;49,791143;724,45726;19,7966
47.07;1;5,1199911;0.67320214;9250.8;1806.8;0,11062886;0,008299019;66,634905;36,80675;730,4305;19,79
53.06;1;5,2080325;0.67783674;9232.8;1772.8;0,089520329;0,006530488;52,064737;28,785961;736,41891;19,79
59.06;1;5,1501576;0.67480508;9150.8;1776.8;0,10467851;0,010165064;86,342037;31,986839;742,41856;19,8
65.04;1;5,2243329;0.67868042;9240.8;1768.8;0,11823379;0,00900997;73,004686;37,512103;748,39988;19,8033
71.02;1;5,2194236;0.67842679;9200.8;1762.8;0,1163287;0,007329892;54,668378;37,866803;754,37902;19,8066
77.01;1;5,0015178;0.66675097;9226.8;1844.8;0,091796646;0,008761193;74,769822;30,380049;760,3727;19,8066
82.99;1;4,9872863;0.66595885;9100.8;1824.8;0,089552326;0,006378299;48,852086;31,267942;766,34647;19,81
88.98;1;4,9424522;0.66343861;9206.8;1862.8;0,088826097;0,008270684;70;30,334972;772,3438;19,81
94.98;1;5,2807505;0.68156672;9118.8;1726.8;0,11581765;0,00835854;65,821129;35,762374;778,33521;19,8133
100.97;1;5,3225954;0.68367421;9318.8;1750.8;0,094861784;0,00655246;52,030356;29,632841;784,32609;19,8133
106.97;1;4,9851755;0.66584104;9146.8;1834.8;0,088342766;0,007647994;63,170613;29,943807;790,33145;19,8266
112.96;1;5,2168132;0.67829176;9258.8;1774.8;0,11682028;0,008949054;72,749028;37,216295;796,31942;19,82
118.96;1;4,9657415;0.66475249;9160.8;1844.8;0,077299051;0,008639105;75,332247;24,38291;802,32083;19,82
124.94;1;5,2246112;0.67869479;9136.8;1748.8;0,08067268;0,008469755;72,692575;23,142579;808,30762;19,82
130.94;1;5,0495958;0.6693994;9244.8;1830.8;0,10612554;0,00759899;59,584526;36,62326;814,30223;19,8333
136.94;1;5,1160282;0.67299039;9294.8;1816.8;0,10648783;0,00880285;73,210583;35,003759;820,29719;19,8366
142.92;1;5,2336427;0.67916031;9246.8;1766.8;0,10017193;0,008668686;72,714293;30,830607;826,27908;19,8366
148.9;1;5,070335;0.67052889;9140.8;1802.8;0,10148936;0,00960273;81,066574;32,350059;832,26466;19,83
154.92;1;5,1765742;0.67619591;9404.8;1816.8;0,11650508;0,011182125;97,402043;36,30282;838,28317;19,84
160.91;1;5,1498782;0.67479031;9304.8;1806.8;0,096246648;0,009120206;78,410526;30,140024;844,27095;19,84
166.91;1;4,9501817;0.66387581;9260.8;1870.8;0,1127869;0,008931189;72,512794;40,028937;850,27576;19,8433
