Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
304.86;1;2,2831565;0.39083014;1377.2;603.2;0,10277487;0,022074597;33,751413;22,775795;619,19475;20,1666
310.49;1;2,1311787;0.3612629;1345.2;631.2;0,10945166;0,0246729;36,738049;27,45331;624,82081;20,1666
316.16;1;2,0377358;0.34161491;1339.2;657.2;0,088695965;0,021770429;33,916306;23,265063;630,48917;20,17
321.83;1;2,1452335;0.36411717;1341.2;625.2;0,10027287;0,021138063;29,28984;25,837549;636,1663;20,17
327.51;1;2,1124845;0.35742653;1367.2;647.2;0,082785789;0,018786474;28,417934;21,50153;641,84041;20,17
333.19;1;2,2911726;0.39231385;1391.2;607.2;0,10688448;0,018416969;21,423057;26,7385;647,52584;20,1733
338.86;1;2,1989631;0.37479741;1357.2;617.2;0,11079277;0,024495406;36,966557;26,161442;653,19408;20,1866
344.55;1;2,168136;0.36871397;1377.2;635.2;0,094591826;0,020998659;31,957208;23,467783;658,88408;20,1866
350.21;1;2,1028959;0.35544083;1365.2;649.2;0,097470147;0,018646631;21,180925;28,354894;664,54892;20,18
355.89;1;2,2035809;0.37569861;1329.2;603.2;0,08150698;0,017208694;24,361315;19,379859;670,22162;20,18
361.57;1;2,1760966;0.37029624;1369.2;629.2;0,10312224;0,023633886;36,875323;24,533543;675,90829;20,18
367.25;1;2,1822338;0.37151067;1336.4;612.4;0,11983495;0,023408351;29,717973;30,748556;681,57724;20,1933
375.86;1;2,2207464;0.37902592;1404.4;632.4;0,094960524;0,019497281;28,503001;23,801813;690,1958;20,1966
381.55;1;2,1602723;0.36714314;1396.4;646.4;0,10327591;0,022130737;32,815272;26,91116;695,88375;20,1966
387.23;1;2,0295894;0.33984453;1344.4;662.4;0,10006182;0,022543247;31,85163;28,639318;701,56466;20,19
392.91;1;1,9993888;0.33319747;1308.4;654.4;0,083635808;0,019839294;28,650342;23,323808;707,23594;20,2
398.69;1;2,0329068;0.34056661;1334.4;656.4;0,091706758;0,021196337;30,793027;25,443436;713,0215;20,2
404.36;1;2,1285363;0.36072341;1384.4;650.4;0,1263711;0,024557561;30,36272;35,88285;718,69544;20,2033
410.02;1;2,1723254;0.36954766;1356.4;624.4;0,11941832;0,023341715;29,859319;31,452554;724,35405;20,2066
415.7;1;1,9697509;0.32654284;1328.4;674.4;0,072076473;0,01888892;30,36272;19,270922;730,03104;20,2066
421.39;1;2,1211743;0.35921553;1358.4;640.4;0,11276378;0,021918406;26,373831;31,692602;735,72644;20,21
427.06;1;2,0590823;0.34620916;1310.4;636.4;0,097523061;0,019528979;22,365387;28,1163;741,39033;20,21
432.74;1;2,0709838;0.3487429;1330.4;642.4;0,083303923;0,019876985;30,282877;21,304805;747,07975;20,21
438.51;1;2,1505588;0.36519199;1308.4;608.4;0,10170439;0,022329828;31,719162;24,70457;752,84058;20,2133
444.2;1;1,9519573;0.32248342;1316.4;674.4;0,077191202;0,019790873;30,693733;21,540659;758,53197;20,2266
449.99;1;2,1439842;0.36386449;1304.4;608.4;0,094273348;0,020797047;29,51895;22,936985;764,31689;20,2266
455.74;1;2,3574352;0.40430719;1382.4;586.4;0,13841192;0,025432747;34,384819;31,187042;770,07638;20,2266
461.44;1;2,119403;0.35885167;1306.4;616.4;0,093493429;0,020115024;27,45331;23,907717;775,77014;20,22
467.11;1;2,0363973;0.34132466;1320.4;648.4;0,078183821;0,018011851;25,837549;21,418143;781,44693;20,22
472.77;1;2,0477053;0.34376858;1356.4;662.4;0,091374439;0,021186226;31,639416;25,198162;787,1027;20,22
478.45;1;2,1048813;0.35585298;1276.4;606.4;0,093581805;0,022363796;33,070897;21,908902;792,78244;20,2333
484.11;1;2,1125485;0.35743973;1306.4;618.4;0,096043806;0,01857501;21,026299;26,293886;798,44394;20,2333
489.79;1;2,1781609;0.37070524;1364.4;626.4;0,079307542;0,015851885;21,220645;20,62191;804,1248;20,2366
495.49;1;2,0767327;0.34995977;1342.4;646.4;0,10443653;0,023768597;34,871192;27,834095;809,81713;20,2366
501.15;1;2,2516824;0.38493377;1338.4;594.4;0,12316034;0,024985542;34,834949;28,595178;815,48221;20,23
506.83;1;2,1887655;0.37279803;1340.4;612.4;0,09488297;0,018396068;23,265063;24,326723;821,15986;20,23
512.61;1;2,1132813;0.35759097;1298.4;614.4;0,095722474;0,022825331;34,348064;22,59017;826,94492;20,24
518.29;1;2,0592686;0.34624897;1306.4;634.4;0,10043536;0,022186129;30,22721;27,237745;832,62283;20,2433
524.07;1;2,0876419;0.35225648;1324.4;634.4;0,093384151;0,020149976;27,449475;25,147983;838,39859;20,2433
529.72;1;1,9849363;0.32996894;1370.4;690.4;0,079602449;0,019379093;30,003509;23,197096;844,05608;20,2466
535.42;1;2,070327;0.34860358;1342.4;648.4;0,087819785;0,021438673;33,642079;22,190562;849,75149;20,25
541.09;1;2,1686587;0.36881811;1306.4;602.4;0,098443995;0,022241163;32,638369;22,831188;855,42341;20,25
546.86;1;2,029679;0.33986405;1340.4;660.4;0,085727494;0,018095921;22,900241;25,509544;861,19179;20,25
552.54;1;2,2802419;0.39028888;1357.2;595.2;0,094605922;0,018856509;26,481374;21,793287;866,86731;20,25
561.24;1;2,1393597;0.36292741;1363.2;637.2;0,13248071;0,027427913;37,568184;35,335981;875,57772;20,2533
566.94;1;1,9801563;0.32889427;1317.2;665.2;0,10491223;0,024097901;33,121785;31,021215;881,2694;20,2533
572.61;1;2,0618622;0.34680275;1293.2;627.2;0,074598548;0,020907039;34,759323;15,190024;886,94626;20,2666
578.3;1;1,9063981;0.31186302;1287.2;675.2;0,10717241;0,025840847;35,291269;33,137671;892,627;20,26
583.96;1;2,0773131;0.35008237;1311.2;631.2;0,10172308;0,023795951;35,123841;25,87419;898,29336;20,26
589.64;1;2,2181122;0.37851764;1391.2;627.2;0,090815383;0,017453313;23,124378;23,467783;903,96848;20,26
595.41;1;1,9804502;0.32896045;1337.2;675.2;0,077941064;0,020291436;32,738196;20,804858;909,73674;20,2733
601.08;1;2,0497573;0.34421011;1351.2;659.2;0,087191439;0,023005067;38,443397;20,845295;915,40934;20,2733
606.76;1;2,0911345;0.35298837;1349.2;645.2;0,083197005;0,01750829;23,481236;23,083373;921,09017;20,2766
612.43;1;2,1977186;0.3745541;1387.2;631.2;0,10641291;0,024845716;40,042083;24,537833;926,76466;20,2766
618.11;1;2,101335;0.35511642;1385.2;659.2;0,083453182;0,02202862;37,977833;18,94035;932,44216;20,2766
623.81;1;2,02932;0.33978583;1301.2;641.2;0,081475176;0,019114348;27,510763;21,884866;938,1423;20,27
629.48;1;2,1013767;0.3551251;1343.2;639.2;0,082844671;0,01891068;28,149974;21,344295;943,81054;20,27
635.15;1;2,0254083;0.33893221;1339.2;661.2;0,082031398;0,017428997;22,214268;24,430352;949,48513;20,28
640.83;1;2,0249554;0.33883324;1363.2;673.2;0,090499359;0,025090026;43,586574;21,021292;955,15876;20,2833
646.51;1;2,1804223;0.37115269;1363.2;625.2;0,10612567;0,021952995;30,793027;26,954152;960,84291;20,2833
652.17;1;2,1957226;0.37416346;1355.2;617.2;0,11740773;0,025117964;36,637628;28,473441;966,5012;20,2866
657.85;1;2,3513514;0.40322581;1357.2;577.2;0,091615383;0,018552217;27,109913;19,30912;972,18189;20,29
663.54;1;2,0392902;0.34195163;1287.2;631.2;0,10609837;0,024787025;35,291269;27,909629;977,86797;20,29
669.3;1;2,0624635;0.346931;1413.2;685.2;0,092099542;0,022570137;37,32926;24,67046;983,63023;20,29
674.97;1;2,0100118;0.33555077;1365.2;679.2;0,091628765;0,021870439;33,375062;26,133262;989,29767;20,29
680.63;1;2,0438223;0.34293141;1343.2;657.2;0,10325641;0,025029758;38,727115;27,264784;994,96264;20,2933
686.31;1;2,2269549;0.38022065;1401.2;629.2;0,10874044;0,023156436;35,168766;26,353867;1000,6386;20,3066
691.98;1;2,0599506;0.34639467;1333.2;647.2;0,088560672;0,020594712;30,501078;23,557321;1006,3111;20,3066
697.66;1;1,8685843;0.30279198;1325.2;709.2;0,070930758;0,019417799;31,425769;21,021292;1011,9894;20,3
703.34;1;2,0248815;0.33881708;1367.2;675.2;0,079475035;0,019748748;31,642743;21,403394;1017,6726;20,3
709.02;1;2,2275449;0.38033395;1339.2;601.2;0,1308701;0,024185127;29,105977;32,815272;1023,3546;20,3
714.68;1;2,1607143;0.36723164;1355.2;627.2;0,080097215;0,017490539;25,694562;19,978936;1029,0192;20,3
720.37;1;1,9594756;0.32420459;1315.2;671.2;0,088296814;0,022617716;35,111851;24,365636;1034,7058;20,3133
726.14;1;2,3362358;0.40052198;1395.2;597.2;0,084322863;0,016654348;24,348349;18,867962;1040,4724;20,3166
731.92;1;2,1153359;0.35801465;1335.2;631.2;0,11540355;0,0227904;27,667195;31,854934;1046,252;20,3166
737.62;1;1,9098639;0.31268264;1347.6;705.6;0,078842334;0,020275865;31,719162;23,929722;1051,9554;20,31
746.35;1;2,0912815;0.35301912;1429.6;683.6;0,094011531;0,018896648;24,776899;28,354894;1060,6847;20,32
752;1;2,2268961;0.38020936;1397.6;627.6;0,08650862;0,016408895;21,540659;22,379502;1066,3373;20,32
757.67;1;2,012735;0.33615137;1327.6;659.6;0,07610936;0,021664417;37,216295;16,73949;1072,0041;20,3233
763.36;1;2,0186298;0.33744774;1343.6;665.6;0,062915438;0,014816169;22;17,651599;1077,6964;20,3266
769.02;1;2,1082964;0.35656072;1331.6;631.6;0,08915364;0,019760132;28,325179;23,083373;1083,3475;20,3266
774.7;1;2,0648715;0.34744409;1349.6;653.6;0,085195114;0,01933773;28,269381;23,23337;1089,0312;20,33
780.49;1;2,2268961;0.38020936;1397.6;627.6;0,1018522;0,020021291;27,697615;25,870121;1094,822;20,33
786.16;1;1,8828475;0.30624149;1343.6;713.6;0,071045069;0,018430584;28,650342;22,214268;1100,4928;20,33
791.92;1;2,153601;0.36580437;1351.6;627.6;0,091771902;0,02184314;34,491799;21,418143;1106,2544;20,33
819.51;1;2,9798416;0.49746744;1655.6;555.6;0,150778;0,021728779;34,564966;25,608387;1133,8362;20,34
825.2;1;3,1800595;0.52153791;1709.6;537.6;0,14488038;0,020363795;34,077311;22,02391;1139,5281;20,34
830.96;1;3,2146119;0.52546046;1689.6;525.6;0,15825466;0,019458599;29,50825;24,192213;1145,2887;20,34
836.64;1;3,1336858;0.51617029;1659.6;529.6;0,16037061;0,022900523;37,306695;24,348349;1150,9754;20,3533
842.31;1;3,4588138;0.55145021;1679.6;485.6;0,20657365;0,021195134;29,058924;27,758356;1156,6398;20,3533
847.99;1;3,2713057;0.53175911;1673.6;511.6;0,16750297;0,019660985;28,815201;24,67046;1162,3252;20,3566
853.66;1;3,0790251;0.50968676;1667.6;541.6;0,15021941;0,017591889;23,659871;25,281572;1167,9978;20,3566
859.34;1;3,1978445;0.52356501;1661.6;519.6;0,14873883;0,01858604;27,969909;22,529513;1173,6741;20,35
865.01;1;3,1785989;0.52137067;1651.6;519.6;0,14323296;0,018738376;28,913665;21,574839;1179,3476;20,36
870.8;1;3,0727136;0.50892693;1639.6;533.6;0,14543449;0,021155966;34,123614;22,683173;1185,1301;20,36
876.46;1;3,2488756;0.52928723;1733.6;533.6;0,17378263;0,018329651;24,296415;27,545178;1190,7946;20,3633
882.17;1;3,1569371;0.51887653;1665.6;527.6;0,13922964;0,016087626;22,10025;22,190562;1196,5062;20,3633
887.85;1;3,3547881;0.5407354;1709.6;509.6;0,19314399;0,02486613;40,512506;26,7385;1202,1781;20,3666
893.61;1;3,3286052;0.5379574;1689.6;507.6;0,1630832;0,019198331;28,931862;23,301231;1207,9415;20,37
899.29;1;3,4557878;0.55114559;1719.6;497.6;0,18755895;0,023670426;38,854655;24,554987;1213,6231;20,37
904.96;1;3,2868792;0.53346014;1773.6;539.6;0,14773799;0,019253984;32,457259;22,152581;1219,295;20,37
910.65;1;3,2422874;0.52855623;1723.6;531.6;0,15959197;0,020363263;32,635144;24,153021;1224,9822;20,3733
916.43;1;2,9573216;0.49460766;1607.6;543.6;0,16670903;0,024217632;37,441885;27,905857;1230,7585;20,3733
922.12;1;3,4112076;0.54660941;1728.8;506.8;0,15521298;0,018439442;29,149343;21,418143;1236,4527;20,3866
930.73;1;3,284925;0.53324738;1664.8;506.8;0,18418258;0,023312926;36,186651;26,193611;1245,0557;20,38
936.4;1;3,1875;0.52238806;1672.8;524.8;0,17976655;0,026820655;45,338493;25,955427;1250,7321;20,38
942.1;1;3,2012336;0.52394935;1660.8;518.8;0,16430207;0,021451076;33,390828;24,499194;1256,4359;20,38
947.87;1;3,6210705;0.56719985;1704.8;470.8;0,19671113;0,022525463;35,481648;23,624252;1262,2027;20,3933
953.63;1;3,2454617;0.52890872;1644.8;506.8;0,16074661;0,020095635;30,296778;23,301231;1267,9635;20,3933
