Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
0;1;2,4701102;0.42364942;10941.6;4429.6;0,032537944;0,005942376;66,24357;51,821556;2285,0556;20,6933
6.58;1;2,5093385;0.43009202;10909.6;4347.6;0,041119248;0,006892359;71,135157;65,358928;2291,6446;20,7066
12.25;1;2,5608935;0.43834322;10959.6;4279.6;0,034555822;0,007918663;102,36262;41,677963;2297,3116;20,7066
17.92;1;2,526019;0.43278809;10931.6;4327.6;0,032730648;0,007105427;89,512128;43,458389;2302,9767;20,7
23.59;1;2,525634;0.43272614;10995.6;4353.6;0,036660703;0,007545016;93,063645;51,33994;2308,6524;20,7
29.28;1;2,4982805;0.42829056;10751.6;4303.6;0,029545504;0,006042255;72,40093;41,839292;2314,3412;20,7
34.95;1;2,4464868;0.41969892;10807.6;4417.6;0,035771287;0,005917958;57,25474;60,203165;2320,0048;20,7
40.62;1;2,469898;0.42361418;10945.6;4431.6;0,031058854;0,006027988;70,701746;47,813233;2325,6771;20,7
46.38;1;2,4101759;0.41351999;10743.6;4457.6;0,030475023;0,005788878;64,424579;49,621727;2331,4402;20,7133
52.05;1;2,400487;0.41184894;10647.6;4435.6;0,031898603;0,00630339;71,74663;50,801989;2337,1113;20,7133
57.74;1;2,4878071;0.4265738;10691.6;4297.6;0,027481762;0,005709645;68,578039;38,650934;2342,7958;20,7133
63.41;1;2,3745056;0.40732058;10565.6;4449.6;0,02784886;0,005697816;65,733113;44,238588;2348,4712;20,7166
69.1;1;2,4498796;0.42026962;10577.6;4317.6;0,028855596;0,005703105;65,238026;43,324965;2354,1566;20,7166
74.77;1;2,3902595;0.41007466;10463.6;4377.6;0,033444508;0,006234388;65,846712;54,706874;2359,834;20,71
80.46;1;2,3862201;0.40937095;10431.6;4371.6;0,035439062;0,006925489;76,197804;56,529452;2365,5187;20,71
86.24;1;2,3713061;0.40675811;10399.6;4385.6;0,027490522;0,006422904;79,168042;38,344697;2371,3013;20,71
92.01;1;2,3858275;0.40930245;10477.6;4391.6;0,039562718;0,007229655;74,658521;65,757129;2377,0726;20,72
97.69;1;2,3638436;0.40544203;10371.6;4387.6;0,033186879;0,006748464;75,865532;52,577762;2382,7508;20,7233
103.36;1;2,382998;0.4088084;10517.6;4413.6;0,030519685;0,005763149;61,82488;50,220566;2388,4179;20,7233
109.02;1;2,3668074;0.40596543;10313.6;4357.6;0,036614332;0,007369951;81,769895;57,88555;2394,0778;20,7233
114.7;1;2,3609064;0.40492243;10377.6;4395.6;0,03214152;0,006127012;64,914519;53,151224;2399,7596;20,7266
120.37;1;2,4093274;0.41337403;10373.6;4305.6;0,028768763;0,006177969;72,750475;41,609715;2405,424;20,73
126.07;1;2,2725965;0.38886446;10107.6;4447.6;0,035524024;0,007337507;79,327436;60,124432;2411,136;20,73
131.83;1;2,2732976;0.38899536;10001.6;4399.6;0,035712922;0,006134035;49,808053;65,551908;2416,8902;20,73
137.52;1;2,2794212;0.39013628;9955.6;4367.6;0,034503124;0,007924401;91,833946;52,417353;2422,5742;20,7333
143.3;1;2,2650602;0.38745387;10001.6;4415.6;0,025247886;0,004960458;50,145053;43,959311;2428,3545;20,7333
