EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
501.00;13.948.000;74.583.287;40.519.610;19.660.000
502.00;14.076.000;15.765.504;40.635.488;19.660.000
503.00;14.168.000;17.930.235;40.747.095;19.660.000
504.00;14.296.000;23.595.103;40.866.339;19.660.000
505.00;14.224.000;79.330.532;40.981.967;19.660.000
506.00;14.332.000;62.836.649;41.097.736;19.660.000
507.00;13.972.000;10.031.949;41.213.441;19.660.000
508.00;13.768.000;11.126.745;41.329.710;19.660.000
509.00;13.604.000;10.383.748;41.446.333;19.660.000
510.00;13.252.000;13.637.204;41.562.153;19.673.300
511.00;13.088.000;14.226.111;41.676.010;19.673.300
512.00;12.960.000;11.580.827;41.792.436;19.673.300
513.00;12.636.000;88.854.438;41.908.178;19.673.300
514.00;12.332.000;97.077.289;42.024.143;19.673.300
515.00;11.984.000;11.454.257;42.139.621;19.673.300
516.00;11.608.000;12.957.366;42.255.528;19.673.300
517.00;11.392.000;13.142.636;42.370.089;19.676.600
518.00;11.080.000;15.157.836;42.485.681;19.676.600
519.00;11.032.000;13.750.798;42.601.281;19.676.600
520.00;10.540.000;10.607.335;42.717.253;19.676.600
521.00;10.532.000;14.022.839;42.828.834;19.676.600
522.00;10.368.000;12.496.399;42.948.452;19.676.600
523.00;99.200.000;17.549.422;43.064.120;19.676.600
524.00;95.880.000;65.713.181;43.175.664;19.676.600
525.00;94.920.000;81.114.460;43.296.174;19.670.000
526.00;91.720.000;95.041.511;43.410.856;19.670.000
527.00;90.160.000;95.554.522;43.525.181;19.670.000
528.00;88.160.000;98.486.322;43.637.593;19.670.000
529.00;85.760.000;93.485.590;43.757.257;19.670.000
530.00;82.160.000;98.124.637;43.872.419;19.670.000
531.00;81.400.000;11.399.025;43.988.425;19.680.000
532.00;78.120.000;14.211.732;44.105.333;19.680.000
533.00;77.360.000;11.742.421;44.220.854;19.680.000
534.00;73.960.000;10.717.379;44.336.272;19.680.000
535.00;73.360.000;84.915.644;44.451.977;19.683.300
536.00;70.400.000;10.752.984;44.567.103;19.683.300
537.00;65.320.000;88.050.491;44.682.565;19.683.300
538.00;66.120.000;66.412.850;44.798.369;19.683.300
539.00;62.280.000;81.856.243;44.914.732;19.686.600
540.00;59.640.000;63.735.565;45.030.033;19.686.600
541.00;58.840.000;62.609.903;45.145.666;19.686.600
542.00;56.000.000;80.927.951;45.261.825;19.686.600
543.00;53.720.000;11.156.264;45.376.478;19.686.600
544.00;52.440.000;71.864.069;45.492.477;19.686.600
545.00;50.360.000;69.294.861;45.608.341;19.686.600
546.00;48.720.000;71.504.468;45.724.042;19.686.600
547.00;47.520.000;51.914.460;45.840.332;19.690.000
548.00;44.920.000;91.418.452;45.955.101;19.690.000
549.00;44.000.000;79.598.995;46.071.195;19.690.000
550.00;41.120.000;54.258.640;46.186.183;19.690.000
551.00;40.680.000;66.786.559;46.301.833;19.690.000
552.00;37.920.000;59.568.821;46.417.824;19.690.000
553.00;37.320.000;64.235.677;46.534.787;19.690.000
554.00;34.440.000;78.937.387;46.650.091;19.690.000
555.00;35.040.000;48.442.406;46.764.272;19.690.000
556.00;33.920.000;49.098.540;46.877.722;19.690.000
557.00;31.760.000;79.509.608;46.996.243;19.690.000
558.00;31.040.000;61.391.277;47.113.665;19.690.000
559.00;30.160.000;51.570.879;47.228.295;19.690.000
560.00;28.720.000;57.441.758;47.344.640;19.690.000
561.00;28.800.000;67.514.607;47.461.957;19.690.000
562.00;26.720.000;43.736.585;47.586.836;19.690.000
563.00;25.840.000;63.104.851;47.701.879;19.693.300
564.00;24.880.000;26.127.891;47.817.854;19.693.300
565.00;24.440.000;64.291.005;47.933.493;19.693.300
566.00;23.840.000;59.029.183;48.046.307;19.693.300
567.00;22.480.000;49.602.867;48.165.216;19.706.600
568.00;21.200.000;60.280.824;48.280.829;19.706.600
569.00;22.440.000;56.960.025;48.392.591;19.706.600
570.00;21.760.000;53.266.625;48.512.325;19.706.600
571.00;19.760.000;54.258.640;48.623.833;19.706.600
572.00;20.200.000;43.594.087;48.743.807;19.706.600
573.00;19.120.000;38.551.553;48.859.755;19.706.600
574.00;18.720.000;68.715.193;48.976.078;19.706.600
575.00;17.360.000;58.968.918;49.090.932;19.706.600
576.00;17.040.000;40.879.226;49.207.065;19.706.600
577.00;17.440.000;45.411.697;49.321.627;19.700.000
578.00;15.640.000;49.620.784;49.433.947;19.700.000
579.00;15.560.000;49.906.579;49.553.347;19.700.000
580.00;16.200.000;47.121.592;49.668.838;19.700.000
581.00;14.560.000;34.666.667;49.781.553;19.700.000
582.00;15.200.000;33.836.207;49.900.352;19.700.000
583.00;13.920.000;45.723.809;50.005.757;19.700.000
584.00;13.520.000;36.660.606;50.121.167;19.700.000
585.00;13.720.000;47.721.414;50.236.811;19.700.000
586.00;13.040.000;44.621.868;50.347.802;19.700.000
587.00;11.920.000;30.287.511;50.468.715;19.700.000
588.00;11.560.000;31.580.585;50.584.505;19.700.000
589.00;11.400.000;36.000.000;50.696.437;19.700.000
590.00;10.920.000;28.000.000;50.816.315;19.713.300
591.00;10.840.000;35.402.448;50.931.650;19.713.300
592.00;11.120.000;36.172.427;51.046.181;19.713.300
593.00;10.120.000;35.301.873;51.162.281;19.713.300
594.00;10.080.000;38.735.571;51.277.623;19.713.300
595.00;95.200.000;25.854.293;51.389.934;19.713.300
596.00;97.200.000;30.433.899;51.510.129;19.713.300
597.00;90.000.000;34.998.413;51.626.140;19.716.600
598.00;86.400.000;25.991.452;51.741.828;19.716.600
599.00;83.200.000;39.009.970;51.855.859;19.716.600
600.00;84.000.000;36.854.067;51.971.814;19.716.600
