Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
275.12;1;2,3320717;0.39977281;18484;7926;0,025759044;0,005114955;99,434189;76,462581;4245,7032;21,3466
280.82;1;2,2923347;0.39252834;18302;7984;0,025018823;0,004635146;80,674786;79,715283;4251,4023;21,3466
286.49;1;2,3454591;0.40217473;18698;7972;0,027210829;0,005365087;105,28258;80,863758;4257,0663;21,34
292.16;1;2,3827098;0.40875803;18852;7912;0,023037061;0,004715281;97,267942;64,69361;4262,7373;21,34
297.84;1;2,3778286;0.40790365;18704;7866;0,02705236;0,006626323;150,18865;63,396829;4268,4183;21,34
303.5;1;2,3393711;0.40108483;18598;7950;0,023860216;0,005341137;114,66289;64,59428;4274,0823;21,3533
309.2;1;2,4019507;0.41210201;18716;7792;0,024756374;0,005427126;116,61543;63,973679;4279,7807;21,3566
314.87;1;2,3864329;0.40940806;18786;7872;0,020282897;0,003566385;62,930204;61,490265;4285,4492;21,35
320.63;1;2,345923;0.40225761;18758;7996;0,026748315;0,00623396;138,20732;69,579186;4291,2075;21,35
326.3;1;2,3169698;0.39704004;18596;8026;0,019418742;0,005552228;132,78871;35,216623;4296,8839;21,36
331.98;1;2,3468266;0.40241899;18784;8004;0,025367018;0,005334147;111,01825;72,437269;4302,5595;21,36
337.64;1;2,3614856;0.40502497;18566;7862;0,021083474;0,005094363;113,88914;51,000516;4308,2209;21,3633
343.32;1;2,378117;0.4079542;18692;7860;0,022446459;0,005485312;124,12218;52,723709;4313,9076;21,3666
349;1;2,3925588;0.41047449;18906;7902;0,022102196;0,005173938;116,15869;54,512191;4319,5815;21,37
354.68;1;2,3658597;0.40579818;18960;8014;0,022964518;0,004673123;96,140248;66,330909;4325,2651;21,37
360.34;1;2,3321581;0.39978839;18522;7942;0,021585535;0,004696712;98,488578;60,166436;4330,9214;21,37
366.02;1;2,3627544;0.40524945;18995.6;8039.6;0,026357216;0,00587382;128,79604;71,216497;4336,603;21,3733
374.76;1;2,3530986;0.40353678;18635.6;7919.6;0,021179165;0,004669437;99,67843;57,328233;4345,3406;21,3733
380.43;1;2,3084437;0.39548615;18623.6;8067.6;0,021034135;0,004800575;104,04351;58,07255;4351,0154;21,3866
386.21;1;2,3426808;0.40167785;18679.6;7973.6;0,022833432;0,004755001;97,603926;65,604878;4356,7903;21,38
391.87;1;2,3126277;0.3962497;18555.6;8023.6;0,02186662;0,004576111;92,991228;64,333015;4362,4509;21,38
