Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
267.08;        Sample;1;32.260.050;    0.52673979;19.709.600;61.096.000;   0.032009611;  0.0051791062;10.686.342;50.770.899;63.836.750;21.906.600
267.08;       Sample2;1;39.901.147;    0.59920761;22.119.600;55.436.000;   0.056437708;  0.0057421975;11.511.002;72.910.905;63.910.822;21.900.000
281.92;        Sample;1;32.903.247;    0.53383482;19.819.600;60.236.000;   0.035823274;  0.0053000291;10.652.304;57.033.693;63.984.335;21.900.000
281.92;       Sample2;1;39.697.035;    0.59756150;22.117.600;55.716.000;   0.050148944;  0.0054473660;11.229.660;64.450.716;64.057.701;21.900.000
296.56;        Sample;1;32.391.632;    0.52820878;19.757.600;60.996.000;   0.032489017;  0.0050958529;10.424.667;52.030.356;64.130.430;21.916.600
296.56;       Sample2;1;39.832.841;    0.59865824;22.113.600;55.516.000;   0.056072067;  0.0058447929;11.842.475;72.272.875;64.205.534;21.916.600
311.37;        Sample;1;33.019.901;    0.53509889;19.777.600;59.896.000;   0.034238414;  0.0049750724;99.090.602;54.374.917;64.278.909;21.910.000
311.37;       Sample2;1;40.173.989;    0.60138709;21.981.600;54.716.000;   0.053639566;  0.0058262941;11.975.062;66.698.063;64.351.921;21.923.300
325.98;        Sample;1;32.284.559;    0.52701410;19.795.600;61.316.000;   0.032483808;  0.0049837971;10.121.265;53.135.378;64.425.912;21.923.300
325.98;       Sample2;1;40.052.654;    0.60042079;22.211.600;55.456.000;   0.038077903;  0.0054423776;12.216.555;43.003.060;64.499.676;21.930.000
340.78;        Sample;1;33.128.413;    0.53626859;19.895.600;60.056.000;   0.041435703;  0.0059161300;11.771.419;66.179.978;64.572.470;21.926.600
340.78;       Sample2;1;40.098.826;    0.60078904;22.397.600;55.856.000;   0.043535484;  0.0070791272;16.378.420;44.824.805;64.646.235;21.930.000
355.41;        Sample;1;33.549.970;    0.54075743;19.967.600;59.516.000;   0.039311382;  0.0050177574;95.006.925;63.728.041;64.719.991;21.946.600
355.41;       Sample2;1;39.693.005;    0.59752886;22.083.600;55.636.000;   0.053979281;  0.0063811089;13.556.199;67.513.741;64.794.720;21.946.600
370.32;        Sample;1;32.751.769;    0.53218311;20.176.400;61.604.000;   0.034664751;  0.0050825594;10.349.167;57.033.693;64.868.256;21.940.000
370.32;       Sample2;1;39.869.853;    0.59895611;22.424.400;56.244.000;   0.046256082;  0.0055092750;11.920.703;58.000.000;64.970.944;21.940.000
387.87;        Sample;1;33.642.971;    0.54173606;20.180.400;59.984.000;   0.038416360;  0.0051625387;10.170.235;61.462.869;65.044.666;21.953.300
387.87;       Sample2;1;39.923.680;    0.59938851;22.598.400;56.604.000;   0.033468395;  0.0042915308;95.613.256;40.964.683;65.119.897;21.956.600
