Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
265.65;1;51.198.291;    0.67319349;91.092.000;17.792.000;    0.11650089;   0.010548841;87.946.156;36.660.606;94.900.685;19.883.300
271.65;1;52.010.073;    0.67747176;90.872.000;17.472.000;    0.11366312;   0.010925689;91.972.536;33.841.737;95.500.646;19.883.300
277.65;1;51.224.443;    0.67333308;89.192.000;17.412.000;    0.10951653;  0.0090015247;71.736.359;34.491.799;96.101.042;19.886.600
283.63;1;50.340.909;    0.66854991;90.372.000;17.952.000;   0.083190236;  0.0069673208;56.410.152;27.468.642;96.699.142;19.890.000
289.63;1;52.959.231;    0.68233411;90.412.000;17.072.000;    0.11074070;  0.0086554229;69.298.743;33.213.821;97.299.192;19.890.000
295.61;1;51.286.773;    0.67366531;91.352.000;17.812.000;    0.10558076;  0.0081741335;65.540.666;34.369.509;97.896.958;19.890.000
301.58;1;53.125.443;    0.68317054;89.952.000;16.932.000;    0.13602218;   0.012022362;98.605.007;39.178.404;98.494.544;19.893.300
307.59;1;51.527.555;    0.67494239;90.132.000;17.492.000;    0.12153896;  0.0086358433;66.318.212;39.199.893;99.095.047;19.893.300
313.58;1;50.731.653;    0.67068244;90.972.000;17.932.000;    0.12161271;  0.0090302413;70.837.100;40.655.161;99.693.750;19.900.000
319.57;1;49.973.292;    0.66651822;89.812.000;17.972.000;   0.092603940;  0.0079725557;64.581.242;30.693.733;10.029.270;19.900.000
325.55;1;52.239.011;    0.67865813;91.272.000;17.472.000;   0.087734656;  0.0074211819;61.112.493;26.911.160;10.089.135;19.900.000
331.54;1;52.221.202;    0.67856616;91.032.000;17.432.000;    0.12167405;  0.0089940560;71.075.942;38.267.755;10.148.990;19.900.000
337.52;1;51.450.837;    0.67453657;89.792.000;17.452.000;   0.092202636;  0.0096387017;81.336.209;26.985.376;10.208.853;19.913.300
343.53;1;51.151.144;    0.67294153;90.292.000;17.652.000;    0.13049435;   0.010648709;85.715.564;41.799.018;10.268.870;19.913.300
349.50;1;53.357.460;    0.68433078;91.412.000;17.132.000;   0.079892786;  0.0067297914;55.537.564;23.445.345;10.328.614;19.916.600
355.50;1;51.583.485;    0.67523760;90.952.000;17.632.000;   0.090360305;  0.0080456223;66.750.123;28.045.076;10.388.578;19.910.000
361.50;1;51.397.730;    0.67425506;92.372.000;17.972.000;   0.093400179;  0.0084262564;71.192.844;29.575.950;10.448.587;19.910.000
367.47;1;49.687.087;    0.66491915;90.192.000;18.152.000;   0.081625046;  0.0074999490;62.008.488;27.082.719;10.508.264;19.920.000
373.46;1;51.234.652;    0.67338755;90.132.000;17.592.000;   0.092428198;  0.0095493151;80.758.249;27.545.178;10.568.202;19.923.300
382.39;1;50.139.134;    0.66743785;90.812.000;18.112.000;   0.085409341;  0.0079811731;66.735.929;27.834.095;10.657.506;19.926.600
388.40;1;50.170.380;    0.66761054;91.872.000;18.312.000;   0.098710505;  0.0086717350;72.280.157;33.023.118;10.717.568;19.926.600
394.39;1;52.580.198;    0.68041009;91.132.000;17.332.000;   0.083813651;  0.0081091628;68.516.613;24.361.315;10.777.484;19.930.000
400.39;1;48.835.160;    0.66006721;90.892.000;18.612.000;    0.10885878;   0.010675539;90.214.948;37.148.351;10.837.460;19.930.000
406.36;1;49.577.072;    0.66430039;92.372.000;18.632.000;   0.093010668;  0.0091629719;78.794.870;31.132.991;10.897.255;19.930.000
412.37;1;50.832.961;    0.67123087;91.052.000;17.912.000;    0.12557206;  0.0099006068;79.433.521;41.396.669;10.957.371;19.933.300
418.36;1;51.264.064;    0.67354434;92.952.000;18.132.000;   0.088664958;  0.0067064421;54.281.915;29.518.950;11.017.216;19.946.600
424.35;1;50.730.024;    0.67067361;91.172.000;17.972.000;    0.10674556;  0.0086351375;69.903.693;35.216.623;11.077.107;19.946.600
