Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
270.83;1;22.092.131;0.37679426;13.812.000;62.520.000;0.098818842;0.019620448;26.891.595;25.177.266;58.515.852;20.150.000
276.47;1;21.425.061;0.36356529;13.952.000;65.120.000;0.099538888;0.020209779;27.590.998;27.376.517;59.080.553;20.150.000
282.16;1;22.092.131;0.37679426;13.812.000;62.520.000;0.10373686;0.022670674;34.564.966;24.840.544;59.648.685;20.160.000
287.84;1;24.399.171;0.41859064;14.132.000;57.920.000;0.12541047;0.019213513;20.820.031;28.521.460;60.217.406;20.160.000
293.51;1;21.225.728;0.35950253;13.992.000;65.920.000;0.090183156;0.019458282;28.595.178;24.554.987;60.784.510;20.163.300
299.19;1;21.540.861;0.36590190;13.812.000;64.120.000;0.070783843;0.015786448;24.083.189;17.859.098;61.352.137;20.163.300
304.86;1;22.831.565;0.39083014;13.772.000;60.320.000;0.10277487;0.022074597;33.751.413;22.775.795;61.919.475;20.166.600
310.49;1;21.311.787;0.36126290;13.452.000;63.120.000;0.10945166;0.024672900;36.738.049;27.453.310;62.482.081;20.166.600
316.16;1;20.377.358;0.34161491;13.392.000;65.720.000;0.088695965;0.021770429;33.916.306;23.265.063;63.048.917;20.170.000
321.83;1;21.452.335;0.36411717;13.412.000;62.520.000;0.10027287;0.021138063;29.289.840;25.837.549;63.616.630;20.170.000
327.51;1;21.124.845;0.35742653;13.672.000;64.720.000;0.082785789;0.018786474;28.417.934;21.501.530;64.184.041;20.170.000
333.19;1;22.911.726;0.39231385;13.912.000;60.720.000;0.10688448;0.018416969;21.423.057;26.738.500;64.752.584;20.173.300
338.86;1;21.989.631;0.37479741;13.572.000;61.720.000;0.11079277;0.024495406;36.966.557;26.161.442;65.319.408;20.186.600
344.55;1;21.681.360;0.36871397;13.772.000;63.520.000;0.094591826;0.020998659;31.957.208;23.467.783;65.888.408;20.186.600
350.21;1;21.028.959;0.35544083;13.652.000;64.920.000;0.097470147;0.018646631;21.180.925;28.354.894;66.454.892;20.180.000
355.89;1;22.035.809;0.37569861;13.292.000;60.320.000;0.081506980;0.017208694;24.361.315;19.379.859;67.022.162;20.180.000
361.57;1;21.760.966;0.37029624;13.692.000;62.920.000;0.10312224;0.023633886;36.875.323;24.533.543;67.590.829;20.180.000
367.25;1;21.822.338;0.37151067;13.364.000;61.240.000;0.11983495;0.023408351;29.717.973;30.748.556;68.157.724;20.193.300
375.86;1;22.207.464;0.37902592;14.044.000;63.240.000;0.094960524;0.019497281;28.503.001;23.801.813;69.019.580;20.196.600
381.55;1;21.602.723;0.36714314;13.964.000;64.640.000;0.10327591;0.022130737;32.815.272;26.911.160;69.588.375;20.196.600
387.23;1;20.295.894;0.33984453;13.444.000;66.240.000;0.10006182;0.022543247;31.851.630;28.639.318;70.156.466;20.190.000
392.91;1;19.993.888;0.33319747;13.084.000;65.440.000;0.083635808;0.019839294;28.650.342;23.323.808;70.723.594;20.200.000
398.69;1;20.329.068;0.34056661;13.344.000;65.640.000;0.091706758;0.021196337;30.793.027;25.443.436;71.302.150;20.200.000
404.36;1;21.285.363;0.36072341;13.844.000;65.040.000;0.12637110;0.024557561;30.362.720;35.882.850;71.869.544;20.203.300
410.02;1;21.723.254;0.36954766;13.564.000;62.440.000;0.11941832;0.023341715;29.859.319;31.452.554;72.435.405;20.206.600
415.70;1;19.697.509;0.32654284;13.284.000;67.440.000;0.072076473;0.018888920;30.362.720;19.270.922;73.003.104;20.206.600
421.39;1;21.211.743;0.35921553;13.584.000;64.040.000;0.11276378;0.021918406;26.373.831;31.692.602;73.572.644;20.210.000
427.06;1;20.590.823;0.34620916;13.104.000;63.640.000;0.097523061;0.019528979;22.365.387;28.116.300;74.139.033;20.210.000
432.74;1;20.709.838;0.34874290;13.304.000;64.240.000;0.083303923;0.019876985;30.282.877;21.304.805;74.707.975;20.210.000
438.51;1;21.505.588;0.36519199;13.084.000;60.840.000;0.10170439;0.022329828;31.719.162;24.704.570;75.284.058;20.213.300
444.20;1;19.519.573;0.32248342;13.164.000;67.440.000;0.077191202;0.019790873;30.693.733;21.540.659;75.853.197;20.226.600
449.99;1;21.439.842;0.36386449;13.044.000;60.840.000;0.094273348;0.020797047;29.518.950;22.936.985;76.431.689;20.226.600
455.74;1;23.574.352;0.40430719;13.824.000;58.640.000;0.13841192;0.025432747;34.384.819;31.187.042;77.007.638;20.226.600
461.44;1;21.194.030;0.35885167;13.064.000;61.640.000;0.093493429;0.020115024;27.453.310;23.907.717;77.577.014;20.220.000
467.11;1;20.363.973;0.34132466;13.204.000;64.840.000;0.078183821;0.018011851;25.837.549;21.418.143;78.144.693;20.220.000
472.77;1;20.477.053;0.34376858;13.564.000;66.240.000;0.091374439;0.021186226;31.639.416;25.198.162;78.710.270;20.220.000
478.45;1;21.048.813;0.35585298;12.764.000;60.640.000;0.093581805;0.022363796;33.070.897;21.908.902;79.278.244;20.233.300
484.11;1;21.125.485;0.35743973;13.064.000;61.840.000;0.096043806;0.018575010;21.026.299;26.293.886;79.844.394;20.233.300
489.79;1;21.781.609;0.37070524;13.644.000;62.640.000;0.079307542;0.015851885;21.220.645;20.621.910;80.412.480;20.236.600
495.49;1;20.767.327;0.34995977;13.424.000;64.640.000;0.10443653;0.023768597;34.871.192;27.834.095;80.981.713;20.236.600
501.15;1;22.516.824;0.38493377;13.384.000;59.440.000;0.12316034;0.024985542;34.834.949;28.595.178;81.548.221;20.230.000
506.83;1;21.887.655;0.37279803;13.404.000;61.240.000;0.094882970;0.018396068;23.265.063;24.326.723;82.115.986;20.230.000
512.61;1;21.132.813;0.35759097;12.984.000;61.440.000;0.095722474;0.022825331;34.348.064;22.590.170;82.694.492;20.240.000
518.29;1;20.592.686;0.34624897;13.064.000;63.440.000;0.10043536;0.022186129;30.227.210;27.237.745;83.262.283;20.243.300
524.07;1;20.876.419;0.35225648;13.244.000;63.440.000;0.093384151;0.020149976;27.449.475;25.147.983;83.839.859;20.243.300
