Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
354.54;Sample;1;3,4894438;0.55451051;118339.6;33913.6;0,012002763;0,001972783;245,66087;93,014996;8434,8638;22,49
354.54;Sample2;1;3,4616491;0.55173525;122305.6;35331.6;0,016900874;0,003597691;486,37521;100,07471;8442,3081;22,49
369.47;Sample;1;3,4664802;0.55222011;117997.6;34039.6;0,021184198;0,002878265;335,95614;184,06578;8449,7124;22,49
369.47;Sample2;1;3,4872469;0.55429241;123049.6;35285.6;0,016290214;0,002626255;338,4099;133,23821;8460,1679;22,49
387.34;Sample;1;3,4458755;0.55014485;117399.6;34069.6;0,012667881;0,001813077;214,68753;108,653;8467,4751;22,5
387.34;Sample2;1;3,4587455;0.55144334;122237.6;35341.6;0,015926976;0,002421002;304,76773;136,82413;8474,8663;22,5
402.08;Sample;1;3,4715427;0.55272707;117843.6;33945.6;0,016198307;0,002412992;291,02903;134,38672;8482,3675;22,5133
402.08;Sample2;1;3,4802903;0.55360035;122191.6;35109.6;0,017472618;0,002518418;311,55265;151,84202;8489,812;22,5166
417;Sample;1;3,471006;0.55267338;117679.6;33903.6;0,019490953;0,002451275;275,33367;173,06829;8497,2387;22,5166
417;Sample2;1;3,4518812;0.55075172;122167.6;35391.6;0,011651387;0,00198249;257,17944;93,379813;8504,6816;22,51
431.84;Sample;1;3,4789562;0.55346739;117211.6;33691.6;0,01718753;0,001864208;189,30288;157,3056;8512,0572;22,5233
431.84;Sample2;1;3,4785602;0.5534279;121685.6;34981.6;0,016542051;0,002363786;290,308;143,90348;8519,4397;22,52
446.56;Sample;1;3,4672142;0.55229368;117703.6;33947.6;0,01837524;0,002294051;256,61562;163,98395;8526,8082;22,53
446.56;Sample2;1;3,4761125;0.5531837;121363.6;34913.6;0,016467753;0,002067896;239,48849;150,36797;8534,2573;22,53
461.37;Sample;1;3,4656545;0.55213732;117151.6;33803.6;0,015444546;0,002335982;281,41709;126,88578;8541,6777;22,53
461.37;Sample2;1;3,4813613;0.55370704;121407.6;34873.6;0,012189161;0,002297424;302,1366;85,888545;8549,0154;22,5333
476.21;Sample;1;3,4885145;0.55441828;117847.6;33781.6;0,013939887;0,001606462;172,02876;125,65952;8556,3133;22,5466
476.21;Sample2;1;3,47528;0.55310058;120903.6;34789.6;0,014117194;0,002700249;354,6607;97,760179;8563,638;22,54
490.81;Sample;1;3,4753131;0.55310389;117547.6;33823.6;0,017506138;0,002001557;212,10276;159,07297;8570,9453;22,54
490.81;Sample2;1;3,4742001;0.55299273;120789.6;34767.6;0,014691218;0,002382502;301,86647;118,59795;8578,4098;22,5533
505.52;Sample;1;3,463996;0.55197093;117185.6;33829.6;0,01888079;0,0025661;297,45022;163,17637;8585,6942;22,5566
