Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;Sample;1;2,0175781;0.33721683;12396;6144;0,017964696;0,00455403;67,215286;43,392941;1837,3887;20,37
0;Reference;1;2,3420769;0.40156973;34822;14868;0,016837998;0,0035719;138,57242;89,022765;1843,5285;20,37
0;Sample2;1;2,9980912;0.49976129;28272;9430;0,048852917;0,012327972;409,78968;70,204213;1850,6346;20,37
18.92;Sample;1;2,0077945;0.33506095;13910;6928;0,016278982;0,004291693;73,256579;42,708313;1857,8975;20,3733
18.92;Reference;1;2,2207708;0.37903064;34342;15464;0,019921552;0,004128824;149,13858;121,38152;1864,6435;20,3733
18.92;Sample2;1;2,7320917;0.46410749;26698;9772;0,035553321;0,009197124;297,0093;65,976072;1871,7812;20,3866
40.16;Sample;1;2,0635367;0.34715977;14680;7114;0,016144753;0,004334838;79,757527;40,049969;1879,2729;20,3866
40.16;Reference;1;2,0983564;0.35449648;32684;15576;0,015131076;0,00330214;113,43814;98,451163;1886,093;20,3866
40.16;Sample2;1;2,5404031;0.43509257;26974;10618;0,036997538;0,009248073;303,2522;98,300292;1893,2736;20,38
61.62;Sample;1;2,1426616;0.36359676;15650;7304;0,030491156;0,009214252;191,57574;53,002483;1900,694;20,38
61.62;Reference;1;2,0510677;0.34449176;31890;15548;0,017786412;0,004765666;189,96454;97,983887;1907,4983;20,3933
61.62;Sample2;1;2,6924399;0.45835272;28206;10476;0,033501868;0,008473687;288,58822;74,183272;1914,7016;20,3933
83.04;Sample;1;2,0148871;0.33662523;15700;7792;0,02567325;0,00666933;127,1849;76,634471;1922,1218;20,3966
83.04;Reference;1;2,019039;0.33753754;31178;15442;0,010260373;0,002657043;100,46104;60,682088;1928,9479;20,3966
83.04;Sample2;1;2,8046751;0.47433094;28316;10096;0,024536175;0,004695469;146,58211;71,200237;1936,1285;20,4
104.49;Sample;1;2,0899262;0.35273534;15850;7584;0,021192986;0,005119239;94,491437;62,211862;1943,5718;20,4033
104.49;Reference;1;1,9647028;0.32539612;29946;15242;0,015053407;0,003694697;124,9463;97,948429;1950,3755;20,4
104.49;Sample2;1;2,8395925;0.47911139;28430;10012;0,02577461;0,004283012;125,46419;79,413641;1957,5786;20,4033
125.93;Sample;1;2,0773749;0.35009543;16270;7832;0,022086634;0,005973424;122,50972;58,787754;1964,9081;20,4066
125.93;Reference;1;1,9757844;0.3279083;30352;15362;0,014922868;0,003424493;107,9337;102,36262;1971,7948;20,4066
125.93;Sample2;1;2,8290342;0.47767507;28296;10002;0,020698024;0,004345748;140,19535;53,843829;1979,0048;20,41
147.35;Sample;1;2,0599533;0.34639525;15874;7706;0,024154846;0,006780459;138,48732;60,376015;1986,4247;20,41
147.35;Reference;1;1,9042126;0.31134518;29382;15430;0,014795619;0,003880511;134,97056;96,693765;1993,2055;20,4133
147.35;Sample2;1;2,8635621;0.48234299;28040;9792;0,022152733;0,003653827;105,44742;66,199062;2000,4151;20,4266
168.7;Sample;1;2,0490585;0.34405981;16540;8072;0,020948832;0,004896828;90,04794;69,850969;2007,6875;20,42
168.7;Reference;1;1,8930565;0.30868961;29172;15410;0,014608846;0,00379482;128,96021;97,474423;2014,4107;20,4266
168.7;Sample2;1;2,846845;0.48009342;27502.8;9660.8;0,019247556;0,003921643;121,75817;49,366513;2021,672;20,42
192.97;Sample;1;2,0424376;0.34263238;16998.8;8322.8;0,020693277;0,004551711;79,27434;74,859869;2031,9341;20,4366
192.97;Reference;1;1,9181005;0.31462265;29340.8;15296.8;0,017191626;0,004187607;133,59483;118,09363;2038,6419;20,4333
192.97;Sample2;1;2,8568748;0.48144545;28016.8;9806.8;0,021729101;0,003982631;121,05153;61,385752;2045,7929;20,43
214.09;Sample;1;2,0503712;0.3443421;16900.8;8242.8;0,022893735;0,006076133;127,53204;67,837267;2053,1901;20,43
214.09;Reference;1;1,8837385;0.30645583;28950.8;15368.8;0,014037137;0,004057938;151,3525;81,610113;2060,0609;20,44
214.09;Sample2;1;2,8432186;0.47960285;27956.8;9832.8;0,026075303;0,004252084;121,13846;79,477239;2067,128;20,4433
235.44;Sample;1;2,1030396;0.35547069;16964.8;8066.8;0,018376014;0,004784948;100,18929;51,949368;2074,5199;20,4433
235.44;Reference;1;1,8597987;0.30065008;28530.8;15340.8;0,011554147;0,003185234;111,42238;74,120812;2081,3388;20,4466
235.44;Sample2;1;2,8994713;0.48710996;28080.8;9684.8;0,022159801;0,004266634;132,66182;58,183014;2088,4347;20,45
256.81;Sample;1;1,9773246;0.32825597;16986.8;8590.8;0,035689185;0,008060691;138,76068;138,26824;2095,8993;20,45
256.81;Reference;1;1,8561884;0.29976609;28560.8;15386.8;0,012194669;0,003410926;121,04458;77,240567;2102,7639;20,45
256.81;Sample2;1;2,8755154;0.48393961;27894.8;9700.8;0,02220657;0,003887528;115,34388;63,272177;2109,951;20,4666
278.22;Sample;1;2,0075094;0.33499792;17964.8;8948.8;0,016197844;0,004008097;83,552694;59,00223;2117,2049;20,46
278.22;Reference;1;1,8796514;0.30547148;28812.8;15328.8;0,011075406;0,003022591;106,4489;70,361473;2124,0731;20,4666
278.22;Sample2;1;2,7971904;0.47329478;27716.8;9908.8;0,023555939;0,003660166;98,903462;75,583345;2131,1582;20,46
299.45;Sample;1;2,0391678;0.34192511;18700.8;9170.8;0,01875843;0,004995002;116,09071;62,25753;2138,5567;20,46
299.45;Reference;1;1,8744658;0.30421853;28770.8;15348.8;0,014009899;0,00437234;170,92381;69,609437;2145,4262;20,4733
299.45;Sample2;1;2,804729;0.47433838;28088.8;10014.8;0,027526519;0,004911229;147,25274;83,091579;2152,6062;20,47
320.89;Sample;1;2,0130037;0.33621058;18142.8;9012.8;0,022436697;0,005910075;131,62866;76,259943;2159,9819;20,47
320.89;Reference;1;1,9114563;0.31305855;28944.8;15142.8;0,01346889;0,003473978;117,21326;87,321547;2166,7789;20,47
320.89;Sample2;1;2,8294942;0.47773782;28104.8;9932.8;0,025113159;0,00383103;104,28705;80,084166;2173,9819;20,48
342.35;Sample;1;1,99168;0.33147931;18384.8;9230.8;0,024858702;0,006111642;128,71838;95,37847;2181,3624;20,4866
342.35;Reference;1;1,8667434;0.30234426;28532.8;15284.8;0,012703186;0,003160448;97,315548;90,005848;2188,1358;20,4866
342.35;Sample2;1;2,8508677;0.48063653;28322.8;9934.8;0,028075853;0,005144917;158,02665;80,622577;2195,2184;20,49
363.57;Sample;1;1,9348375;0.31853127;18076.8;9342.8;0,021718155;0,005831125;129,08096;80,91451;2202,6684;20,49
363.57;Reference;1;1,8647819;0.30186658;28442.4;15252.4;0,015617926;0,003984314;126,82686;108,1315;2209,3915;20,49
363.57;Sample2;1;2,8597156;0.4818271;28392.4;9928.4;0,025663526;0,003899219;107,70232;80,747821;2219,51;20,5066
387.85;Sample;1;1,9789175;0.32861519;18998.4;9600.4;0,018886222;0,005182847;123,91508;66,887179;2226,8169;20,5066
387.85;Reference;1;1,8509419;0.29847745;28416.4;15352.4;0,013337139;0,003838672;139,00322;81,22613;2233,5622;20,5066
387.85;Sample2;1;2,8736283;0.48368821;28806.4;10024.4;0,021748236;0,003760931;114,52786;64,555158;2240,8167;20,5
409.09;Sample;1;1,8929158;0.308656;18426.4;9734.4;0,017853624;0,004366176;86,333503;79,683585;2248,1921;20,5
409.09;Reference;1;1,8808011;0.30574868;28660.4;15238.4;0,014207175;0,003316335;92,464502;104,08094;2255,0108;20,5
409.09;Sample2;1;2,8135177;0.47554983;28406.4;10096.4;0,025388713;0,004162881;120,33637;80,444816;2262,0998;20,5166
430.4;Sample;1;1,8723926;0.30371635;18024.4;9626.4;0,02090582;0,006217115;147,28061;73,24652;2269,4752;20,5166
430.4;Reference;1;1,8439109;0.2967431;28356.4;15378.4;0,012599656;0,003440734;117,64263;83,497242;2276,1984;20,5166
430.4;Sample2;1;2,8902755;0.48589759;28996.4;10032.4;0,022093319;0,003933305;122,37905;63,939116;2283,3338;20,5233
451.65;Sample;1;1,9007784;0.31052988;18168.4;9558.4;0,023874579;0,007079995;169,31503;80,493216;2290,611;20,5233
