Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
277.84;Sample2;1;2,580358;0.44139664;33504.4;12984.4;0,024990914;0,004818431;175,52268;105,76936;3732,1048;20,97
299.21;Sample;1;1,2202068;0.099183021;14584.4;11952.4;0,011382281;0,004775816;102,86322;72,968631;3739,4956;20,97
299.21;Reference;1;0,73333011;-0.1538483;6066.4;8272.4;0,010330103;-0,007051011;64,66106;76,186751;3746,4176;20,97
299.21;Sample2;1;2,5917719;0.44317176;33590.4;12960.4;0,02039485;0,004279269;163,55009;80,119647;3753,6198;20,9733
320.74;Sample;1;1,2275037;0.10213394;14492.4;11806.4;0,00959747;0,003892048;74,113711;69,826854;3761,0383;20,9866
320.74;Reference;1;0,73114627;-0.15530388;6026.4;8242.4;0,007819318;-0,005442944;46,4758;61,071141;3767,8426;20,9866
320.74;Sample2;1;2,6052623;0.44525535;33744.4;12952.4;0,018417837;0,003649826;136,37333;75,129362;3775,0446;20,98
342.19;Sample;1;1,2131018;0.096291013;14140.4;11656.4;0,010919891;0,004325761;64,385353;90,513157;3782,3803;20,98
342.19;Reference;1;0,73357275;-0.1536868;6046.4;8242.4;0,008582668;-0,006126087;45,974821;73,292493;3789,2132;20,9933
342.19;Sample2;1;2,658344;0.45330455;34070.4;12816.4;0,02455332;0,003862187;123,94906;108,80693;3796,2875;20,9966
363.42;Sample;1;1,1891189;0.086390423;14084.4;11844.4;0,010045419;0,004227069;80,810369;73,440273;3803,7678;20,99
363.42;Reference;1;0,71583321;-0.16561446;5788.8;8086.8;0,007979317;-0,005620128;48,157636;59,998246;3810,5857;20,9966
363.42;Sample2;1;2,6746064;0.45572402;33910.8;12678.8;0,019424592;0,004184141;163,46962;68,872116;3820,7321;21,0033
387.82;Sample;1;1,2277841;0.10224695;14186.8;11554.8;0,011888969;0,004874532;95,387299;80,518059;3827,9865;21,0066
387.82;Reference;1;0,73128883;-0.15520875;5932.8;8112.8;0,007919924;-0,005709446;40,688806;68;3834,8122;21,01
387.82;Sample2;1;2,6457793;0.45142044;33862.8;12798.8;0,016731405;0,002905935;100,87929;71,393646;3841,9918;21,01
409.07;Sample;1;1,1840873;0.084285692;14060.8;11874.8;0,012428523;0,005180098;91,232497;97,974218;3849,3605;21,01
409.07;Reference;1;0,71821123;-0.16400124;5948.8;8282.8;0,008307434;-0,006205345;41,080153;76,858037;3856,1639;21,01
409.07;Sample2;1;2,674105;0.45564975;34032.8;12726.8;0,018504635;0,00379076;145,70627;69,18929;3863,2758;21,0266
430.4;Sample;1;1,1922163;0.087681283;14054.8;11788.8;0,010192047;0,004387721;93,712887;63,072223;3870,5763;21,0133
430.4;Reference;1;0,71462344;-0.16643687;5924.8;8290.8;0,009458032;-0,00685815;53,978553;79,592383;3877,3225;21,0266
430.4;Sample2;1;2,6756083;0.45587238;33912.8;12674.8;0,022817873;0,004526398;170,91949;87,196089;3884,5549;21,02
451.64;Sample;1;1,2006706;0.091186119;14036.8;11690.8;0,010991775;0,004817107;111,05617;53,843829;3891,9522;21,02
451.64;Reference;1;0,70039079;-0.1762002;5806.8;8290.8;0,007735191;-0,005798985;42,794491;68,196311;3898,8228;21,0333
451.64;Sample2;1;2,7100708;0.46092673;34132.8;12594.8;0,022732023;0,003917806;138,1258;92,537332;3905,981;21,0366
473.08;Sample;1;1,2078846;0.094155542;14130.8;11698.8;0,01143756;0,004788337;95,862841;77,284165;3913,3791;21,03
473.08;Reference;1;0,7109259;-0.1689577;5936.8;8350.8;0,010178771;-0,00713665;65,412054;76,352369;3920,1757;21,04
473.08;Sample2;1;2,6846935;0.45721401;34054.8;12684.8;0,023754337;0,003981207;136,47826;100,06314;3927,3854;21,0433
494.55;Sample;1;1,1801026;0.082611995;13982.8;11848.8;0,009766039;0,004095977;73,037842;76,055381;3934,7822;21,0466
494.55;Reference;1;0,72545472;-0.15911474;5934.8;8180.8;0,010462238;-0,00702014;69,456537;68,940859;3941,6068;21,0466
494.55;Sample2;1;2,6809492;0.45666189;34162.8;12742.8;0,019379903;0,004405066;176,57502;64,398431;3948,7422;21,05
515.89;Sample;1;1,1946164;0.08867901;13970.8;11694.8;0,010502812;0,004529234;97,344748;62,702304;3956,0642;21,05
515.89;Reference;1;0,69033856;-0.18319492;5684.8;8234.8;0,008019336;-0,006031612;46,066314;68,54119;3962,8096;21,05
515.89;Sample2;1;2,6711477;0.45521123;34176.8;12794.8;0,02117512;0,003755523;134,21428;88,108784;3969,8007;21,0666
536.93;Sample;1;1,1717538;0.079085286;13712.8;11702.8;0,011688331;0,005223048;119,58173;56,678224;3977,1073;21,0666
536.93;Reference;1;0,69160298;-0.18231052;5646.8;8164.8;0,009433397;-0,006931885;56,900652;75,057872;3983,8072;21,06
536.93;Sample2;1;2,6740157;0.45563651;34202.8;12790.8;0,015673086;0,003516735;140,56952;53,451404;3990,9584;21,0666
558.03;Sample;1;1,2245089;0.10092515;14137.2;11545.2;0,01228007;0,005059425;99,661532;82,348425;3998,341;21,0733
558.03;Reference;1;0,70119036;-0.17564739;5749.2;8199.2;0,006924766;-0,005239947;36,461948;62,06957;4008,2186;21,06
558.03;Sample2;1;2,7320968;0.46410823;34351.2;12573.2;0,018808923;0,003586555;135,121;71,038907;4015,3462;21,0766
582.42;Sample;1;1,1717835;0.079097894;13847.2;11817.2;0,009650657;0,004079456;72,320922;75,252557;4022,6069;21,07
582.42;Reference;1;0,70142387;-0.17548604;5793.2;8259.2;0,010344862;-0,007290905;67,138506;75,337836;4029,3757;21,08
582.42;Sample2;1;2,7349525;0.46451796;34097.2;12467.2;0,016010846;0,00363809;145,25404;50,061015;4036,4649;21,0833
603.54;Sample;1;1,1966439;0.089520134;13777.2;11513.2;0,011043884;0,004701816;95,254783;70,38391;4043,8471;21,0866
603.54;Reference;1;0,70321416;-0.17425045;5767.2;8201.2;0,008858075;-0,006214917;57,315379;63,476477;4050,4718;21,0866
603.54;Sample2;1;2,7171462;0.46195283;34413.2;12665.2;0,019672277;0,004569736;185,45591;61,234665;4057,5993;21,09
624.67;Sample;1;1,202209;0.091821;14019.2;11661.2;0,01197462;0,004944325;90,005848;88,803746;4065,0205;21,09
624.67;Reference;1;0,6762299;-0.19315376;5685.2;8407.2;0,009003629;-0,006341826;63,794077;60,252102;4071,8245;21,0933
624.67;Sample2;1;2,6831807;0.45699107;34337.2;12797.2;0,019062733;0,003979362;155,55605;70,036081;4079,085;21,09
646.23;Sample;1;1,1747344;0.080347465;13755.2;11709.2;0,011336505;0,004854875;93,691543;80,046039;4086,4455;21,1066
646.23;Reference;1;0,69030194;-0.18322055;5697.2;8253.2;0,009691746;-0,006766489;66,140202;65,165377;4093,2706;21,1
646.23;Sample2;1;2,6941464;0.45860293;34445.2;12785.2;0,017273597;0,003800678;151,93558;59,490822;4100,5022;21,0933
667.59;Sample;1;1,1793202;0.082282639;13837.2;11733.2;0,010135201;0,004301152;81,07047;73,772053;4107,8704;21,1
667.59;Reference;1;0,68835666;-0.18458383;5725.2;8317.2;0,007953091;-0,006053279;44,981868;70,45566;4114,5928;21,1133
667.59;Sample2;1;2,7209214;0.46249873;34537.2;12693.2;0,024112838;0,003400095;99,661532;106,3569;4121,5678;21,1166
688.71;Sample;1;1,1795965;0.082398953;13727.2;11637.2;0,013139109;0,00539002;79,158735;110,89967;4129,0792;21,11
688.71;Reference;1;0,68967503;-0.18365956;5747.2;8333.2;0,00800909;-0,005981601;47,647831;67,762744;4135,8529;21,11
688.71;Sample2;1;2,7269519;0.46336845;34619.2;12695.2;0,019595998;0,003981274;155,35359;71,253439;4143,1136;21,1166
710.23;Sample;1;1,1702355;0.078441015;13597.2;11619.2;0,009811512;0,004122571;68,085086;78,136183;4150,4356;21,12
710.23;Reference;1;0,69317684;-0.18121153;5693.2;8213.2;0,008318104;-0,006041463;51,607833;64,581242;4157,1582;21,1266
710.23;Sample2;1;2,6711813;0.45521622;34317.2;12847.2;0,021377177;0,004042364;150,74482;85,942453;4164,2994;21,1233
731.37;Sample;1;1,1819864;0.083404015;13795.2;11671.2;0,00966156;0,004152035;83,924778;63,716477;4171,6678;21,13
731.37;Reference;1;0,68237902;-0.18879276;5663.2;8299.2;0,010109334;-0,007495587;62,905108;81,356913;4178,4871;21,13
731.37;Sample2;1;2,7327072;0.46419586;35034.4;12820.4;0,019202519;0,003053268;104,44843;81,577861;4185,6898;21,13
755.72;Sample;1;1,1867128;0.085385133;13868.4;11686.4;0,013912743;0,005922981;117,06139;95,083343;4195,9343;21,1333
755.72;Reference;1;0,68250202;-0.18870586;5752.4;8428.4;0,007838349;-0,005397397;56,900652;49,184936;4202,7526;21,14
755.72;Sample2;1;2,6920642;0.45829761;34696.4;12888.4;0,021194013;0,003867483;143,26935;86,390789;4209,8934;21,1466
776.99;Sample;1;1,1598528;0.074010973;13742.4;11848.4;0,010642504;0,004766021;107,66811;56,589008;4217,1938;21,14
776.99;Reference;1;0,68043499;-0.19016803;5706.4;8386.4;0,008888897;-0,006522028;57,608479;69,530758;4223,8926;21,14
776.99;Sample2;1;2,6682146;0.45477563;34474.4;12920.4;0,021914023;0,004008636;147,29848;90,624732;4231,006;21,1533
838.87;Sample;1;2,3661511;0.4058496;25148.4;10628.4;0,018215148;0,003407819;85,951026;73,314033;4279,1103;21,1666
838.87;Reference;1;1,4169187;0.1725001;11242.4;7934.4;0,013255468;0,004829413;74,951212;52,072824;4285,8775;21,1633
838.87;Sample2;1;2,9265138;0.49064231;37466.4;12802.4;0,025126186;0,004876436;202,86578;85,303174;4293,08;21,17
860.19;Sample;1;2,3697871;0.40649069;24798.4;10464.4;0,018443471;0,004286376;125,63607;61,823177;4300,4847;21,17
860.19;Reference;1;1,5815693;0.22527744;11416.4;7218.4;0,014940642;0,00469852;66,394356;53,736198;4307,2806;21,17
860.19;Sample2;1;2,919725;0.48976012;36182.4;12392.4;0,021677511;0,004292582;173,59602;70,216207;4314,4904;21,1733
881.62;Sample;1;2,3958078;0.41103851;25008.4;10438.4;0,018972576;0,004006279;112,32565;68,080448;4321,9328;21,1733
881.62;Reference;1;1,5892727;0.22758233;11354.4;7144.4;0,017963264;0,005790322;85,224163;60,376015;4328,7288;21,1733
