Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;Sample;1;1,6941892;0.25766163;25074;14800;0,014615975;0,003864308;95,651781;114,52051;82,866427;19,88
0;Reference;1;2,2777778;0.38983051;37392;16416;0,018621579;0,004505422;202,20677;100,65052;97,274377;19,87
0;Sample2;1;2,5995897;0.44438112;27878;10724;0,027565808;0,006363366;209,67092;80,162992;104,33306;19,88
27.22;Sample;1;1,9189457;0.31482111;27084;14114;0,017081593;0,003775971;92,502063;116,02087;111,71288;19,88
27.22;Reference;1;2,1689676;0.36887964;35506;16370;0,012943345;0,003009762;123,01048;79,539464;118,4332;19,88
27.22;Sample2;1;2,9249797;0.49044323;28852;9864;0,031421005;0,006575829;215,52189;76,149438;125,65714;19,8866
48.46;Sample;1;1,8898052;0.30791183;26582;14066;0,011068428;0,003101708;103,62991;61,481705;132,88715;19,8866
48.46;Reference;1;2,0960193;0.3540092;34752;16580;0,015373352;0,003851778;160,71944;94,385548;139,67537;19,89
48.46;Sample2;1;2,8429276;0.47956345;27656;9728;0,031892529;0,006300736;194,64407;84,981732;146,77082;19,89
69.58;Sample;1;1,7896715;0.28306971;25714;14368;0,014199979;0,0043473;148,23807;78,329936;154,07075;19,89
69.58;Reference;1;2,0260504;0.33907248;33754;16660;0,014097638;0,003116664;107,27142;103,12588;160,93366;19,8933
69.58;Sample2;1;2,721637;0.46260207;26868;9872;0,022803191;0,005127576;160,89487;57,849169;168,16734;19,8933
91.05;Sample;1;1,8151519;0.28955877;25924;14282;0,015009161;0,004028538;121,36418;97,344748;175,51726;19,8933
91.05;Reference;1;1,9950857;0.33223947;33290;16686;0,013950747;0,003486121;135,3755;94,918247;182,33591;19,8933
91.05;Sample2;1;2,7395301;0.46517345;26820;9790;0,020675217;0,003205141;82,2269;67,513741;189,56736;19,9066
112.43;Sample;1;1,7970353;0.2849572;25216;14032;0,012973004;0,003681787;114,5058;78,748099;197,01474;19,9
112.43;Reference;1;2,0292505;0.33977067;33300;16410;0,014175515;0,003644481;146,65104;88,983736;203,82719;19,9066
112.43;Sample2;1;2,6929293;0.45842451;26660;9900;0,021357125;0,003725875;103,12588;68,542726;211,01436;19,9133
133.86;Sample;1;1,7691218;0.27774936;24980;14120;0,012153134;0,003307055;94,786186;80,858551;218,43204;19,9133
133.86;Reference;1;1,9979351;0.33287416;32898;16466;0,014866022;0,00355018;129,85741;103,85719;225,24972;19,9133
133.86;Sample2;1;2,7358304;0.46464379;27610;10092;0,022269617;0,004847527;154,65479;59,605722;232,34401;19,9166
155.17;Sample;1;1,7763755;0.27963635;25054;14104;0,011442851;0,003090572;88,328335;76,038771;239,73527;19,9166
155.17;Reference;1;1,9790881;0.32865363;32556;16450;0,013642521;0,002923449;87,226264;104,47966;246,6267;19,91
155.17;Sample2;1;2,8073985;0.47470694;27928;9948;0,01887102;0,00386022;121,90074;50,853764;253,82836;19,91
176.72;Sample;1;1,7690777;0.27773786;24898;14074;0,010789981;0,003180655;100,67038;64,267533;261,27745;19,92
176.72;Reference;1;1,9966374;0.33258526;33252;16654;0,011695572;0,002689566;94,608334;85,272319;268,07263;19,92
176.72;Sample2;1;2,7963989;0.47318497;28266;10108;0,022139063;0,003789709;111,67151;69,348851;278,24123;19,9266
201.09;Sample;1;1,7471989;0.27198573;24950;14280;0,013239997;0,00359862;100,91268;91,508987;285,68421;19,93
201.09;Reference;1;1,9775844;0.32831458;33172;16774;0,013064113;0,003552813;147,28133;82,051332;292,48011;19,93
201.09;Sample2;1;2,7813121;0.47108307;27980;10060;0,021078261;0,003634657;106,26283;65,976072;299,66426;19,93
222.53;Sample;1;1,7753471;0.27936941;25320;14262;0,012155419;0,003615286;117,71151;71,68792;307,10705;19,93
222.53;Reference;1;1,9728604;0.32724725;33148;16802;0,013084649;0,003202876;120,00351;93,370794;313,92529;19,93
222.53;Sample2;1;2,7760448;0.47034527;27766;10002;0,022069699;0,003924396;115,7811;67,700579;320,92136;19,93
243.76;Sample;1;1,7432037;0.27092545;25008;14346;0,015716932;0,004664258;147,81496;97,672924;328,19853;19,9333
243.76;Reference;1;1,9666548;0.32584001;33264;16914;0,013347538;0,002944247;94,014557;104,36676;334,94244;19,9333
243.76;Sample2;1;2,7375271;0.46488683;27764;10142;0,023887198;0,003818123;104,10925;79,909159;342,16641;19,9466
265.01;Sample;1;1,7762376;0.27960057;25116;14140;0,014293287;0,004447578;149,79284;76,386827;349,59199;19,94
265.01;Reference;1;1,9627572;0.32495311;33202;16916;0,016116864;0,003649748;121,71667;124,29168;356,38805;19,94
265.01;Sample2;1;2,7106857;0.46101606;27752;10238;0,023861608;0,004206367;122,37647;78;363,59005;19,94
286.46;Sample;1;1,754965;0.27403797;25096;14300;0,014502896;0,003980263;114,83627;98,404108;371,02233;19,9533
286.46;Reference;1;1,9372134;0.3190825;32952;17010;0,013769318;0,003176555;106,00497;107,81173;377,83448;19,9533
286.46;Sample2;1;2,7527344;0.46705527;28188;10240;0,018958267;0,004539482;151,81984;43,952127;384,92278;19,9566
307.82;Sample;1;1,7448965;0.27137509;25130;14402;0,012849279;0,003538738;101,95045;88,509292;392,39439;19,95
307.82;Reference;1;1,9435417;0.3205464;32772;16862;0,013662302;0,003299546;118,19342;101,74374;399,23489;19,95
307.82;Sample2;1;2,7470794;0.46625097;28218;10272;0,023702056;0,004229314;126,63998;75,694678;406,43678;19,9633
329.27;Sample;1;1,7445682;0.27128793;25052;14360;0,013557843;0,0039747;124,47447;85,810072;413,84893;19,96
329.27;Reference;1;1,9806192;0.32899849;33520;16924;0,012900225;0,003513301;147,40992;81,310322;420,63633;19,9633
329.27;Sample2;1;2,7476941;0.46633851;28598;10408;0,020664759;0,004660327;155,63723;54,025335;427,83818;19,97
350.7;Sample;1;1,7398115;0.27002277;25102;14428;0,013681586;0,004467191;155,49649;69,893152;435,28641;19,97
350.7;Reference;1;1,9797184;0.32879564;33188;16764;0,01370177;0,003804906;160,29184;83,10298;442,10512;19,97
350.7;Sample2;1;2,793319;0.47275724;28598;10238;0,022526303;0,004202199;130,9552;67,961289;449,24684;19,97
372.14;Sample;1;1,7711325;0.2782734;25361.2;14319.2;0,012860401;0,00385457;126,50692;75,555487;456,61819;19,9733
372.14;Reference;1;1,9724872;0.32716279;33495.2;16981.2;0,014106456;0,003729068;152,40113;93,694914;466,4892;19,9866
372.14;Sample2;1;2,7918794;0.47255706;28659.2;10265.2;0,018256628;0,003095037;91,876347;58,50596;473,67394;19,98
396.54;Sample;1;1,7524963;0.27338686;25343.2;14461.2;0,016266694;0,004678593;145,37067;105,53024;481,11694;19,98
396.54;Reference;1;1,9361642;0.3188392;33157.2;17125.2;0,01161259;0,003139232;128,28504;78,484326;487,86599;19,98
396.54;Sample2;1;2,7859092;0.47172532;28581.2;10259.2;0,021929551;0,004839428;160,27542;56,672652;494,90112;19,98
417.78;Sample;1;1,7392856;0.26988263;25145.2;14457.2;0,015178166;0,004534053;145,31201;94,535986;502,39699;19,98
417.78;Reference;1;1,9320758;0.3178894;32859.2;17007.2;0,008697365;0,002464034;103,5537;54,668378;509,16965;19,9933
417.78;Sample2;1;2,7316952;0.46405055;28593.2;10467.2;0,022917306;0,004387145;137,82903;71,87123;516,27549;19,98
439.12;Sample;1;1,7765827;0.2796901;25503.2;14355.2;0,013247844;0,003493232;97,699863;91,839677;523,72339;19,9966
439.12;Reference;1;1,9382722;0.31932786;33259.2;17159.2;0,012597905;0,003370698;136,98713;86,274958;530,51953;19,99
439.12;Sample2;1;2,7602989;0.46812739;28517.2;10331.2;0,019996388;0,004147641;134,40786;56,835867;537,72121;19,9966
460.56;Sample;1;1,7681264;0.27748965;25371.2;14349.2;0,013178229;0,003497443;97,617945;91,595219;545,07775;20
460.56;Reference;1;1,9322153;0.31792184;33043.2;17101.2;0,011534187;0,003061343;122,46589;80,024996;551,845;20,0033
460.56;Sample2;1;2,7643665;0.4687021;28747.2;10399.2;0,026964162;0,004245553;119,2397;91,807579;558,88151;20
481.77;Sample;1;1,722178;0.2652942;25125.2;14589.2;0,012950874;0,004080661;137,32712;75,353203;566,32903;20,0066
481.77;Reference;1;1,9331353;0.31813577;33051.2;17097.2;0,013743653;0,003353531;122,03882;103,8734;573,07982;20,01
481.77;Sample2;1;2,7421369;0.46554601;28631.2;10441.2;0,024488893;0,004488336;138,29336;78,43066;580,32647;20,01
503.23;Sample;1;1,7710501;0.27825196;25459.2;14375.2;0,012629658;0,003975819;136,92564;67,31544;587,69722;20,01
503.23;Reference;1;1,9754056;0.32782273;33509.2;16963.2;0,013548749;0,003514153;141,39977;91,720399;594,55395;20,0066
503.23;Sample2;1;2,7365144;0.4647418;28835.2;10537.2;0,02097693;0,004087944;130,60507;65,165377;601,74957;20,01
524.55;Sample;1;1,7489451;0.2724482;25533.2;14599.2;0,010839727;0,003216285;104,30219;68,049518;609,12231;20,0266
524.55;Reference;1;1,9645452;0.32536026;33423.2;17013.2;0,012594681;0,003390085;140,0902;82,53229;615,99174;20,0133
524.55;Sample2;1;2,6941543;0.4586041;28685.2;10647.2;0,02163086;0,004305229;137,84736;68,481269;623,07922;20,02
545.9;Sample;1;1,7919074;0.28364385;25809.2;14403.2;0,01539513;0,004161113;124,08062;102,55679;630,46933;20,0266
545.9;Reference;1;1,9578481;0.32383275;33219.2;16967.2;0,01429715;0,003761075;151,18897;96,894951;637,34844;20,02
