     Reference;        400.00;26.808.800;19.122.529;31.501.087;20.213.300
     Reference;        401.00;28.324.800;16.305.963;31.515.426;20.213.300
     Reference;        402.00;29.324.800;27.147.662;31.526.993;20.213.300
     Reference;        403.00;31.152.800;18.147.543;31.538.552;20.213.300
     Reference;        404.00;32.652.800;17.012.414;31.550.195;20.213.300
     Reference;        405.00;34.284.800;21.223.048;31.561.704;20.213.300
     Reference;        406.00;36.476.800;17.437.635;31.573.183;20.213.300
     Reference;        407.00;38.112.800;20.099.751;31.584.720;20.213.300
     Reference;        408.00;39.828.800;12.888.582;31.596.311;20.213.300
     Reference;        409.00;41.800.800;30.643.760;31.607.854;20.213.300
     Reference;        410.00;43.400.800;19.641.679;31.619.391;20.213.300
     Reference;        411.00;44.924.800;21.448.025;31.630.924;20.213.300
     Reference;        412.00;47.184.800;12.536.879;31.642.534;20.213.300
     Reference;        413.00;48.192.800;25.883.500;31.653.968;20.213.300
     Reference;        414.00;49.988.800;30.510.909;31.665.466;20.213.300
     Reference;        415.00;52.116.800;20.571.393;31.677.197;20.213.300
     Reference;        416.00;53.372.800;32.309.613;31.688.664;20.213.300
     Reference;        417.00;55.064.800;25.668.312;31.700.322;20.213.300
     Reference;        418.00;56.376.800;14.599.239;31.711.858;20.213.300
     Reference;        419.00;57.840.800;15.697.700;31.723.474;20.226.600
     Reference;        420.00;59.180.800;30.942.527;31.734.963;20.226.600
     Reference;        421.00;60.572.800;25.043.961;31.746.547;20.226.600
     Reference;        422.00;62.032.800;23.142.073;31.758.306;20.226.600
     Reference;        423.00;63.092.800;29.891.656;31.769.750;20.226.600
     Reference;        424.00;63.968.800;31.072.389;31.781.412;20.226.600
     Reference;        425.00;65.060.800;25.042.542;31.793.426;20.226.600
     Reference;        426.00;65.996.800;24.045.882;31.805.298;20.226.600
     Reference;        427.00;67.616.800;35.000.698;31.816.891;20.226.600
     Reference;        428.00;68.788.800;42.219.322;31.828.388;20.226.600
     Reference;        429.00;69.396.800;49.026.795;31.839.527;20.226.600
     Reference;        430.00;68.040.800;42.349.026;31.851.378;20.226.600
     Reference;        431.00;69.244.800;25.499.804;31.863.067;20.226.600
     Reference;        432.00;72.668.800;26.939.933;31.874.612;20.220.000
     Reference;        433.00;76.436.800;20.046.169;31.886.285;20.220.000
     Reference;        434.00;79.620.800;23.307.033;31.897.783;20.220.000
     Reference;        435.00;82.820.800;14.952.369;31.909.430;20.220.000
     Reference;        436.00;86.272.800;25.704.301;31.920.904;20.220.000
     Reference;        437.00;89.476.800;30.306.288;31.932.478;20.220.000
     Reference;        438.00;93.912.800;25.979.479;31.944.138;20.226.600
     Reference;        439.00;97.840.800;16.460.593;31.955.665;20.220.000
     Reference;        440.00;     101180.80;33.107.502;31.966.702;20.220.000
     Reference;        441.00;     104648.80;23.973.689;31.978.642;20.220.000
     Reference;        442.00;     108148.80;17.950.054;31.990.254;20.220.000
     Reference;        443.00;     112800.80;30.955.452;32.001.765;20.220.000
     Reference;        444.00;     117388.80;33.968.351;32.013.376;20.220.000
     Reference;        445.00;     123524.80;43.780.462;32.024.912;20.220.000
     Reference;        446.00;     129268.80;26.594.569;32.036.486;20.220.000
     Reference;        447.00;     136520.80;48.402.204;32.047.977;20.220.000
     Reference;        448.00;     143980.80;26.976.863;32.059.511;20.220.000
     Reference;        449.00;     150368.80;29.804.996;32.071.142;20.220.000
     Reference;        450.00;     154444.80;36.323.485;32.082.597;20.220.000
     Reference;        451.00;     158020.80;55.135.550;32.094.359;20.220.000
     Reference;        452.00;     162984.80;41.565.156;32.106.896;20.233.300
     Reference;        453.00;     170692.80;42.462.009;32.118.409;20.233.300
     Reference;        454.00;     177180.80;41.824.182;32.129.831;20.233.300
     Reference;        455.00;     182892.80;32.610.837;32.141.056;20.233.300
     Reference;        456.00;     189184.80;48.148.105;32.153.041;20.233.300
     Reference;        457.00;     195388.80;54.816.705;32.164.711;20.233.300
     Reference;        458.00;     203020.80;44.676.815;32.176.237;20.233.300
     Reference;        459.00;     210872.80;50.003.555;32.187.702;20.233.300
     Reference;        460.00;     220368.80;46.945.642;32.199.279;20.233.300
     Reference;        461.00;     230044.80;47.631.176;32.210.825;20.233.300
     Reference;        462.00;     242020.80;74.496.950;32.222.042;20.233.300
     Reference;        463.00;     255756.80;40.266.667;32.233.881;20.233.300
     Reference;        464.00;     269304.80;59.598.807;32.245.078;20.233.300
     Reference;        465.00;     282256.80;69.860.687;32.257.074;20.236.600
     Reference;        466.00;     294264.80;48.280.845;32.268.509;20.236.600
     Reference;        467.00;     305100.80;35.245.425;32.280.159;20.236.600
