     Reference;        490.00;     251985.60;78.134.243;33.284.452;20.260.000
     Reference;        491.00;     277953.60;95.551.173;33.298.940;20.260.000
     Reference;        492.00;     300881.60;33.438.767;33.310.492;20.260.000
     Reference;        493.00;     319837.60;59.911.194;33.322.007;20.260.000
     Reference;        494.00;     335933.60;71.021.624;33.333.607;20.273.300
     Reference;        495.00;     346713.60;70.621.873;33.345.160;20.273.300
     Reference;        496.00;     352985.60;64.366.175;33.356.644;20.273.300
     Reference;        497.00;     356329.60;42.803.946;33.368.322;20.273.300
     Reference;        498.00;     356525.60;71.719.082;33.379.928;20.273.300
     Reference;        499.00;     354521.60;44.688.751;33.391.351;20.273.300
     Reference;        500.00;     348569.60;61.327.536;33.402.905;20.273.300
     Reference;        501.00;     345525.60;60.467.659;33.414.584;20.276.600
     Reference;        502.00;     340253.60;61.111.046;33.426.194;20.276.600
     Reference;        503.00;     336261.60;47.557.404;33.438.672;20.273.300
     Reference;        504.00;     332705.60;63.590.915;33.450.196;20.273.300
     Reference;        505.00;     329777.60;36.703.254;33.461.698;20.276.600
     Reference;        506.00;     327817.60;50.564.107;33.472.249;20.276.600
     Reference;        507.00;     328001.60;54.031.431;33.483.850;20.270.000
     Reference;        508.00;     328893.60;47.123.290;33.495.460;20.270.000
     Reference;        509.00;     330029.60;67.675.697;33.507.072;20.270.000
     Reference;        510.00;     333025.60;80.904.223;33.518.623;20.270.000
     Reference;        511.00;     337425.60;61.568.246;33.530.145;20.280.000
     Reference;        512.00;     342153.60;53.437.232;33.541.649;20.280.000
     Reference;        513.00;     346457.60;78.101.472;33.553.202;20.280.000
     Reference;        514.00;     351201.60;62.041.706;33.564.862;20.280.000
     Reference;        515.00;     357693.60;76.826.963;33.576.309;20.280.000
     Reference;        516.00;     361521.60;56.382.188;33.588.041;20.270.000
     Reference;        517.00;     367113.60;69.241.478;33.599.509;20.280.000
     Reference;        518.00;     372565.60;83.141.539;33.611.058;20.280.000
     Reference;        519.00;     378921.60;74.465.921;33.622.675;20.280.000
     Reference;        520.00;     382433.60;82.783.144;33.634.106;20.280.000
     Reference;        521.00;     387509.60;11.469.496;33.645.673;20.280.000
