     Reference;        490.00;     126876.80;25.282.757;35.478.320;20.340.000
     Reference;        491.00;     160508.80;42.970.584;35.492.983;20.340.000
     Reference;        492.00;     199700.80;41.591.452;35.504.618;20.340.000
     Reference;        493.00;     244184.80;46.956.244;35.516.035;20.340.000
     Reference;        494.00;     288828.80;75.970.053;35.527.313;20.340.000
     Reference;        495.00;     330252.80;89.209.466;35.538.745;20.340.000
     Reference;        496.00;     368216.80;70.842.674;35.550.301;20.340.000
     Reference;        497.00;     402868.80;61.028.809;35.562.288;20.340.000
     Reference;        498.00;     429476.80;84.035.548;35.573.945;20.340.000
     Reference;        499.00;     452244.80;11.930.763;35.585.407;20.340.000
     Reference;        500.00;     465144.80;49.843.310;35.596.945;20.340.000
     Reference;        501.00;     473972.80;52.884.108;35.608.660;20.340.000
     Reference;        502.00;     477584.80;84.882.664;35.620.156;20.340.000
     Reference;        503.00;     479420.80;83.824.579;35.631.586;20.340.000
     Reference;        504.00;     478940.80;82.404.315;35.643.376;20.340.000
     Reference;        505.00;     479204.80;68.865.085;35.654.901;20.340.000
     Reference;        506.00;     474288.80;44.444.022;35.666.410;20.340.000
     Reference;        507.00;     472160.80;91.364.861;35.677.954;20.340.000
     Reference;        508.00;     469868.80;90.268.144;35.689.741;20.340.000
     Reference;        509.00;     467428.80;10.197.377;35.702.253;20.340.000
     Reference;        510.00;     465608.80;75.792.582;35.713.691;20.340.000
     Reference;        511.00;     467016.80;73.766.117;35.725.409;20.340.000
     Reference;        512.00;     464176.80;12.742.935;35.736.932;20.340.000
     Reference;        513.00;     466568.80;62.908.611;35.748.499;20.340.000
     Reference;        514.00;     465140.80;11.383.294;35.760.073;20.340.000
     Reference;        515.00;     466172.80;10.492.037;35.771.268;20.340.000
     Reference;        516.00;     465840.80;12.423.698;35.782.782;20.340.000
     Reference;        517.00;     464864.80;62.108.865;35.794.676;20.340.000
     Reference;        518.00;     465076.80;84.251.053;35.806.338;20.340.000
     Reference;        519.00;     462648.80;72.728.292;35.817.905;20.340.000
     Reference;        520.00;     460188.80;97.202.103;35.829.397;20.353.300
     Reference;        521.00;     460204.80;63.595.947;35.840.990;20.353.300
     Reference;        522.00;     457324.80;65.940.040;35.852.433;20.353.300
